"Study.Sample.ID"	"Study.Name"	"LIDE.Sample.ID"	"Site.Name"	"Sample.Combining.needed."	"USGS_ID"	"SSdate"	"SEdate"	"Collection.Start.Date"	"Sample.Type"	"Event.Type"	"Adenovirus.C.D.F"	"Adenovirus.A"	"Adenovirus.B"	"Enterovirus"	"G1.Norovirus"	"G2.Norovirus"	"HAV"	"Rotavirus"	"Campylobacter"	"Salmonella"	"EHEC"	"Cryptosporidium"	"BVDV1"	"BVDV2"	"Rotavirus.a"	"Rotavirus.c"	"Bovine.Enterovirus"	"Coronavirus"	"Bovine.Adenovirus"	"Bovine.Polyomavirus"	"Mycobacterium.Avium"	"Mycobacterium.Avium.paratuber"	"pdate"	"nmonth"	"ddate"	"Human_virus"	"Bacteria"	"Protozoa"	"Bovine_virus"	"Human"	"All_pathogens"	"cmonth"	"Rotavirus.a_occur"	"Bovine.Polyomavirus_occur"	"Adenovirus.C.D.F_occur"	"Adenovirus.A_occur"	"Enterovirus_occur"	"Abb2"	"Ddate"	"SEpdate"	"FT."	"Site.Code"	"Abb."	"Sample.Date"	"Event"	"Enterococci.CFU.100ml"	"E..coli.CFU.100ml"	"BacHuman.CN.100ml"	"RERUN.BacHuman.CN.100ml"	"BacSp.CN.100ml"	"Ratio.Human.Sp"	"Entero.CN.100ml"	"Lachno.2.CN.100ml"	"RERUN.Lachno.2.CN.100ml"	"Ruminant.CN.100ml"	"Cow.CN.100ml"	"lachno"	"lachnocen"	"BacHuman"	"BacHumancen"	"Abb2.1"	"GLWI.Site.Name"	"Sample.Date.1"	"GLWI.Study.Sample.ID"	"USGS_ID.1"	"X"	"Sample.Start.date.2"	"Sample.End.date.2"	"X.1"	"USGS.Sample.Type.2"	"USGS.Event.Type"	"USGS.Event.Type.2"	"GLWI.Event"	"Ebpdate"	"Eepdate"	"DO_mean"	"DO_max"	"DO_min"	"DO_median"	"Q_mean"	"Q_max"	"Q_min"	"Q_median"	"SC_mean"	"SC_max"	"SC_min"	"SC_median"	"TURB_mean"	"TURB_max"	"TURB_min"	"TURB_median"	"WTEMP_mean"	"WTEMP_max"	"WTEMP_min"	"WTEMP_median"	"Ebddate"	"AntBase"
"MF 013"	"Milw Corridor Study USGS"	"33550 - 33551"	"Meno Falls"	FALSE	"MF 013"	"11/17/2009 17:30"	"11/18/2009 14:38"	"17-Nov-09"	"Baseflow"	"Baseflow"	14.35	30.14	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"11/17/2009"	10	"0009-11-17"	44.49	NA	NA	NA	NA	NA	"Nov"	NA	NA	1	1	0	"MF"	"11/17/2009"	"11/18/2009 14:38"	8669	"USGSMF013"	"MF"	"21-Nov-09"	"Rain"	450	2200	"1603"	"773"	"136532"	0	16677	"BLD"	"1020"	NA	NA	"1020"	1020	"773"	773	"MF"	"Meno Falls"	"21-Nov-09"	"MF 013"	"MF 013"	""	"11/17/2009 17:30"	"11/18/2009 14:38"	NA	"Baseflow"	"Baseflow"	"Baseflow"	"Rain"	2009-11-17 17:30:00	2009-11-18 14:38:00	11.6043307086614	13.2	10.8	11.3	10.6296898791209	12.9355	9.838399	10.5937	1153.93700787402	1180	1090	1160	4.19527559055118	8.3	3.4	3.9	6.28937007874016	7.2	5.7	6.3	2009-11-17	9.63
"MF 014"	"Milw Corridor Study USGS"	"33573 - 33574"	"Meno Falls"	FALSE	"MF 014"	"12/24/2009 23:28"	"12/27/2009 17:29"	"24-Dec-09"	"Event"	"Mix"	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"12/24/2009"	11	"0009-12-24"	0	NA	NA	NA	NA	NA	"Dec"	NA	NA	0	0	0	"MF"	"12/24/2009"	"12/27/2009 17:29"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"MF 014"	"did not receive"	"12/24/2009 23:28"	"12/27/2009 17:29"	NA	"Event"	"Mix"	"Mix"	NA	2009-12-24 23:28:00	2009-12-27 17:29:00	13.9569444444444	14.2	13.7	14	130.638116628788	159.1727	26.08824	137.1925	1141.28914141414	2880	912	1010	33.4520202020202	82	13	32	0.108207070707071	0.4	0	0.1	2009-12-24	9.7
"MF 015"	"Milw Corridor Study USGS"	"33592 - 33593"	"Meno Falls"	FALSE	"MF 015"	"1/20/2010 9:47"	"1/21/2010 4:24"	"20-Jan-10"	"Baseflow"	"Baseflow"	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"1/20/2010"	0	"0010-01-20"	0	NA	NA	NA	NA	NA	"Jan"	NA	NA	0	0	0	"MF"	"1/20/2010"	"1/21/2010 4:24"	8696	"USGSMF015"	"MF"	"23-Jan-10"	"Baseflow"	17	15	"1110"	""	"76372"	0	5111	"1089"	""	NA	NA	"1089"	1089	"1110"	1110	"MF"	"Meno Falls"	"23-Jan-10"	"MF 015"	"MF 015"	""	"1/20/2010 9:47"	"1/21/2010 4:24"	NA	"Baseflow"	"Baseflow"	"Baseflow"	"Baseflow"	2010-01-20 09:47:00	2010-01-21 04:24:00	14.2080717488789	14.7	14	14	17.1567864864865	17.70421	16.40079	17.26105	1170.58295964126	1180	1170	1170	1.93363228699552	2.5	1.6	2	0	0	0	0	2010-01-20	15
"MF 016"	"Milw Corridor Study USGS"	"33600 - 33601"	"Meno Falls"	FALSE	"MF 016"	"1/24/2010 7:13"	"1/26/2010 9:06"	"24-Jan-10"	"Event"	"Mix"	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"1/24/2010"	0	"0010-01-24"	0	NA	NA	NA	NA	NA	"Jan"	NA	NA	0	0	0	"MF"	"1/24/2010"	"1/26/2010 9:06"	8705	"USGSMF016"	"MF"	"28-Jan-10"	"Rain"	340	230	"2441"	""	"477166"	0	47057	"3419"	""	NA	NA	"3419"	3419	"2441"	2441	"MF"	"Meno Falls"	"28-Jan-10"	"MF 016"	"MF 016"	""	"1/24/2010 7:13"	"1/26/2010 9:06"	NA	"Event"	"Mix"	"Mix"	"Rain"	2010-01-24 07:13:00	2010-01-26 09:06:00	13.6417362270451	14.1	13.3	13.6	116.364268998331	201.0166	89.97562	113.6948	1151.32220367279	1720	957	1050	14.8330550918197	59	5.3	12	0.230217028380634	0.6	0	0.2	2010-01-24	17
"MF 017"	"Milw Corridor Study USGS"	"33622 - 33623"	"Meno Falls"	FALSE	"MF 017"	"3/1/2010 8:59"	"3/2/2010 1:51"	"1-Mar-10"	"Baseflow"	"Baseflow"	0	331.74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"3/1/2010"	2	"0010-03-01"	331.74	0	0	0	331.74	331.74	"Mar"	0	0	0	1	0	"MF"	"3/1/2010"	"3/2/2010 1:51"	8721	"USGSMF017"	"MF"	"4-Mar-10"	"Baseflow"	6	20	"BLD"	"236"	"163866"	NA	8617	"541"	"941"	NA	NA	"941"	941	"236"	236	"MF"	"Meno Falls"	"4-Mar-10"	"MF 017"	"MF 017"	""	"3/1/2010 8:59"	"3/2/2010 1:51"	NA	"Baseflow"	"Baseflow"	"Baseflow"	"Baseflow"	2010-03-01 08:59:00	2010-03-02 01:51:00	13.9758620689655	15.6	12.5	13.6	14.312055	14.78108	13.28932	14.39644	1371.08374384236	1450	1320	1360	5.28620689655172	8.5	3.2	4.2	1.89901477832512	2.8	1.1	1.9	2010-03-01	12
"MF 018"	"Milw Corridor Study USGS"	"33660 - 33661"	"Meno Falls"	FALSE	"MF 018"	"3/9/2010 17:03"	"3/14/2010 14:31"	"9-Mar-10"	"Event"	"Mix"	0	37.12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"3/9/2010"	2	"0010-03-09"	37.12	0	0	0	37.12	37.12	"Mar"	0	0	0	1	0	"MF"	"3/9/2010"	"3/14/2010 14:31"	8747	"USGSMF018"	"MF"	"17-Mar-10"	"Rain"	0	0	"BLD"	"BLD"	"19527"	NA	1407	"BLD"	"195"	NA	NA	"195"	195	"BLD"	60	"MF"	"Meno Falls"	"17-Mar-10"	"MF 018"	"MF 018"	""	"3/9/2010 17:03"	"3/14/2010 14:31"	NA	"Event"	"Mix"	"Mix"	"Rain"	2010-03-09 17:03:00	2010-03-14 14:31:00	12.9092274678112	13.5	12.2	12.9	163.722773497854	267.1138	35.26071	171.8344	896.472103004292	1450	600	800	15.6505368647101	61	7.7	14	2.31008583690987	3.9	0.9	2.3	2010-03-09	15.12
"MF 020"	"Milw Corridor Study USGS"	"33690 - 33691"	"Meno Falls"	FALSE	"MF 020"	"4/6/2010 22:43"	"4/8/2010 13:47"	"6-Apr-10"	"Event"	"Rainfall "	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"4/6/2010"	3	"0010-04-06"	0	0	0	0	0	0	"Apr"	0	0	0	0	0	"MF"	"4/6/2010"	"4/8/2010 13:47"	8800	"USGSMF020"	"MF"	"10-Apr-10"	"Rain"	480	440	"BLD"	"225"	"155947"	NA	10086	"BLD"	"900"	NA	NA	"900"	900	"225"	225	"MF"	"Meno Falls"	"10-Apr-10"	"MF 020"	"MF 020"	""	"4/6/2010 22:43"	"4/8/2010 13:47"	NA	"Event"	"Rainfall "	"Rainfall "	"Rain"	2010-04-06 22:43:00	2010-04-08 13:47:00	11.0466950959488	12	10.2	10.9	132.055449445629	165.4199	91.01955	139.994	880.837953091684	997	783	846	15.7159914712154	120	8.8	14	8.32665245202559	10.8	6.1	8.8	2010-04-06	20.04
"MF 021"	"Milw Corridor Study USGS"	"33698 - 33699"	"Meno Falls"	FALSE	"MF 021"	"4/24/2010 23:07"	"4/26/2010 7:39"	"24-Apr-10"	"Event"	"Rainfall "	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"4/24/2010"	3	"0010-04-24"	0	0	0	0	0	0	"Apr"	0	0	0	0	0	"MF"	"4/24/2010"	"4/26/2010 7:39"	8856	"USGSMF021"	"MF"	"28-Apr-10"	"Rain"	410	620	"BLD"	"705"	"237132"	NA	25764	"BLD"	"1298"	NA	NA	"1298"	1298	"705"	705	"MF"	"Meno Falls"	"28-Apr-10"	"MF 021"	"MF 021"	""	"4/24/2010 23:07"	"4/26/2010 7:39"	NA	"Event"	"Rainfall "	"Rainfall "	"Rain"	2010-04-24 23:07:00	2010-04-26 07:39:00	10.7933333333333	11.1	10.4	10.8	225.455309512821	306.4006	95.27883	231.4482	612.076923076923	870	436	619	26.2901554404145	78	11	22	9.07615384615385	9.8	8.1	9.1	2010-04-24	17.37
"MF 022"	"Milw Corridor Study USGS"	"33953 - 33952"	"Meno Falls"	FALSE	"MF 022"	"5/18/2010 11:04"	"5/19/2010 11:53"	"18-May-10"	"Baseflow"	"Baseflow"	0	0.11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"5/18/2010"	4	"0010-05-18"	0.11	0	0	0	0.11	0.11	"May"	0	0	0	1	0	"MF"	"5/18/2010"	"5/19/2010 11:53"	8971	"USGSMF022"	"MF"	"21-May-10"	"Baseflow"	60	40	"BLD"	"240"	"55874"	NA	3355	"BLD"	"360"	NA	NA	"360"	360	"240"	240	"MF"	"Meno Falls"	"21-May-10"	"MF 022"	"MF 022"	""	"5/18/2010 11:04"	"5/19/2010 11:53"	NA	"Baseflow"	"Baseflow"	"Baseflow"	"Baseflow"	2010-05-18 11:04:00	2010-05-19 11:53:00	9.61409395973154	10.6	9	9.45	43.0778751342282	51.20136	36.63482	41.76496	857.302013422819	867	846	857	7.63187919463087	16	5.6	7.1	15.1171140939597	16.2	13.4	15.15	2010-05-18	67.67
"MF 023"	"Milw Corridor Study USGS"	"33955 - 33954"	"Meno Falls"	FALSE	"MF 023"	"6/15/2010 15:14"	"6/16/2010 10:21"	"15-Jun-10"	"Event"	"Rainfall "	0	2.69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"6/15/2010"	5	"0010-06-15"	2.69	0	0	0	2.69	2.69	"Jun"	0	0	0	1	0	"MF"	"6/15/2010"	"6/16/2010 10:21"	9312	"USGSMF023"	"MF"	"18-Jun-10"	"CSO"	14400	4500	"2824"	""	"49360"	0	93358	"2749"	""	NA	NA	"2749"	2749	"2824"	2824	"MF"	"Meno Falls"	"18-Jun-10"	"MF 023"	"MF 023"	""	"6/15/2010 15:14"	"6/16/2010 10:21"	NA	"Event"	"Rainfall "	"CSO"	"CSO"	2010-06-15 15:14:00	2010-06-16 10:21:00	8.36017316017316	8.9	8	8.3	36.8609506222222	59.66999	14.78108	36.63482	760.43722943723	1040	349	767	28.1521739130435	140	11	22	18.725974025974	19.5	18.1	18.9	2010-06-15	12.89
"MF 025"	"Milw Corridor Study USGS"	"33958 - 33957"	"Meno Falls"	FALSE	"MF 025"	"7/13/2010 8:29"	"7/14/2010 5:57"	"13-Jul-10"	"Baseflow"	"Baseflow"	0	0	0	0	0	0	0	0	0	0.21	0	0	0	0	0	0	0	0	0	0	0	0	"7/13/2010"	6	"0010-07-13"	0	0.21	0	0	0.21	0.21	"Jul"	0	0	0	0	0	"MF"	"7/13/2010"	"7/14/2010 5:57"	9456	"USGSMF025"	"MF"	"16-Jul-10"	"Baseflow"	170	280	"BLD"	"BLD"	"1289"	NA	2527	"BLD"	"233"	NA	NA	"233"	233	"BLD"	60	"MF"	"Meno Falls"	"16-Jul-10"	"MF 025"	"MF 025"	""	"7/13/2010 8:29"	"7/14/2010 5:57"	NA	"Baseflow"	"Baseflow"	"Baseflow"	"Baseflow"	2010-07-13 08:29:00	2010-07-14 05:57:00	7.69189189189189	8.5	7.1	7.6	8.80578805813954	10.21023	7.836451	8.789982	981.76833976834	987	974	981	11.2525096525097	17	8.6	11	24.0185328185328	25.5	22.3	24	2010-07-13	9.24
