"Study.Sample.ID"	"Study.Name"	"LIDE.Sample.ID"	"Site.Name"	"Sample.Combining.needed."	"USGS_ID"	"SSdate"	"SEdate"	"Collection.Start.Date"	"Sample.Type"	"Event.Type"	"Adenovirus.C.D.F"	"Adenovirus.A"	"Adenovirus.B"	"Enterovirus"	"G1.Norovirus"	"G2.Norovirus"	"HAV"	"Rotavirus"	"Campylobacter"	"Salmonella"	"EHEC"	"Cryptosporidium"	"BVDV1"	"BVDV2"	"Rotavirus.a"	"Rotavirus.c"	"Bovine.Enterovirus"	"Coronavirus"	"Bovine.Adenovirus"	"Bovine.Polyomavirus"	"Mycobacterium.Avium"	"Mycobacterium.Avium.paratuber"	"pdate"	"nmonth"	"ddate"	"Human_virus"	"Bacteria"	"Protozoa"	"Bovine_virus"	"Human"	"All_pathogens"	"cmonth"	"Rotavirus.a_occur"	"Bovine.Polyomavirus_occur"	"Adenovirus.C.D.F_occur"	"Adenovirus.A_occur"	"Enterovirus_occur"	"Abb2"	"Ddate"	"SEpdate"	"FT."	"Site.Code"	"Abb."	"Sample.Date"	"Event"	"Enterococci.CFU.100ml"	"E..coli.CFU.100ml"	"BacHuman.CN.100ml"	"RERUN.BacHuman.CN.100ml"	"BacSp.CN.100ml"	"Ratio.Human.Sp"	"Entero.CN.100ml"	"Lachno.2.CN.100ml"	"RERUN.Lachno.2.CN.100ml"	"Ruminant.CN.100ml"	"Cow.CN.100ml"	"lachno"	"lachnocen"	"BacHuman"	"BacHumancen"	"Abb2.1"	"GLWI.Site.Name"	"Sample.Date.1"	"GLWI.Study.Sample.ID"	"USGS_ID.1"	"X"	"Sample.Start.date.2"	"Sample.End.date.2"	"X.1"	"USGS.Sample.Type.2"	"USGS.Event.Type"	"USGS.Event.Type.2"	"GLWI.Event"	"Ebpdate"	"Eepdate"	"DO_mean"	"DO_max"	"DO_min"	"DO_median"	"Q_mean"	"Q_max"	"Q_min"	"Q_median"	"SC_mean"	"SC_max"	"SC_min"	"SC_median"	"TURB_mean"	"TURB_max"	"TURB_min"	"TURB_median"	"WTEMP_mean"	"WTEMP_max"	"WTEMP_min"	"WTEMP_median"
"HW 015"	"Milw Corridor Study USGS"	"33530 - 33531"	"Honey"	FALSE	"HW 015"	"10/22/2009 9:11"	"10/24/2009 1:38"	"22-Oct-09"	"Event"	"Rainfall "	0.81	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"10/22/2009"	9	"0009-10-22"	0.81	NA	NA	NA	NA	NA	"Oct"	NA	NA	1	0	0	"HW"	"10/22/2009"	"10/24/2009 1:38"	8657	"USGSHW015"	"HW"	"25-Oct-09"	"Rain"	"3700"	3400	"5788"	""	"611698"	0	"125457"	"4293"	""	NA	NA	"4293"	4293	"5788"	5788	"HW"	"Honey"	"25-Oct-09"	"HW 015"	"HW 015"	""	"10/22/2009 9:11"	"10/24/2009 1:38"	NA	"Event"	"Rainfall "	"Rainfall "	"Rain"	2009-10-22 09:11:00	2009-10-24 01:38:00	10.6334710743802	11.4	10	10.6	81.9499629484536	240.7742	20.24774	60.58221	242.903092783505	380	112	235	34.6978260869565	74	12	35	10.6371134020619	11.7	9	10.9
"HW 016"	"Milw Corridor Study USGS"	"33556 - 33557"	"Honey"	FALSE	"HW 016"	"11/17/2009 17:43"	"11/18/2009 15:26"	"17-Nov-09"	"Baseflow"	"Baseflow"	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"11/17/2009"	10	"0009-11-17"	0	NA	NA	NA	NA	NA	"Nov"	NA	NA	0	0	0	"HW"	"11/17/2009"	"11/18/2009 15:26"	8666	"USGSHW016"	"HW"	"21-Nov-09"	"Rain"	"25600"	10600	"6848"	""	"1726738"	0	"687646"	"6128"	""	NA	NA	"6128"	6128	"6848"	6848	"HW"	"Honey"	"21-Nov-09"	"HW 016"	"HW 016"	""	"11/17/2009 17:43"	"11/18/2009 15:26"	NA	"Baseflow"	"Baseflow"	"Baseflow"	"Rain"	2009-11-17 17:43:00	2009-11-18 15:26:00	10.1007662835249	11.5	9.6	10.1	11.8697696083333	34.55027	1.33407	1.488658	1355.57088122605	1650	372	1430	17.3961685823755	150	1.4	1.8	7.95823754789272	9.7	7.5	7.7
"HW 017"	"Milw Corridor Study USGS"	"33579 - 33580"	"Honey"	FALSE	"HW 017"	"12/24/2009 22:00"	"12/27/2009 4:49"	"24-Dec-09"	"Event"	"Mix"	0.68	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"12/24/2009"	11	"0009-12-24"	0.68	NA	NA	NA	NA	NA	"Dec"	NA	NA	1	0	0	"HW"	"12/24/2009"	"12/27/2009 4:49"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"HW 017"	"did not receive"	"12/24/2009 22:00"	"12/27/2009 4:49"	NA	"Event"	"Mix"	"Mix"	NA	2009-12-24 22:00:00	2009-12-27 04:49:00	12.7740121580547	13.3	12.3	12.8	93.9334474468085	540.1531	12.97287	44.08675	2016.81914893617	4660	510	1610	24.1995433789954	140	3.3	11	1.99984802431611	2.6	1	2.1
"HW 018"	"Milw Corridor Study USGS"	"33596 - 33597"	"Honey"	FALSE	"HW 018"	"1/20/2010 12:23"	"1/21/2010 11:15"	"20-Jan-10"	"Baseflow"	"Baseflow"	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"1/20/2010"	0	"0010-01-20"	0	NA	NA	NA	NA	NA	"Jan"	NA	NA	0	0	0	"HW"	"1/20/2010"	"1/21/2010 11:15"	8695	"USGSHW018"	"HW"	"23-Jan-10"	"Baseflow"	"147"	49	"11368"	""	"274039"	0	"36537"	"5848"	""	NA	NA	"5848"	5848	"11368"	11368	"HW"	"Honey"	"23-Jan-10"	"HW 018"	"HW 018"	""	"1/20/2010 12:23"	"1/21/2010 11:15"	NA	"Baseflow"	"Baseflow"	"Baseflow"	"Baseflow"	2010-01-20 12:23:00	2010-01-21 11:15:00	13.4589090909091	15.7	12.3	12.9	1.59090109782609	1.653586	1.488658	1.569817	3140.50909090909	3200	3080	3150	4.18109090909091	9.2	2.4	3.3	1.35781818181818	1.8	1	1.4
"HW 019"	"Milw Corridor Study USGS"	"33604 - 33605"	"Honey"	FALSE	"HW 019"	"1/24/2010 5:08"	"1/25/2010 11:04"	"24-Jan-10"	"Event"	"Mix"	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"1/24/2010"	0	"0010-01-24"	0	NA	NA	NA	NA	NA	"Jan"	NA	NA	0	0	0	"HW"	"1/24/2010"	"1/25/2010 11:04"	8704	"USGSHW019"	"HW"	"28-Jan-10"	"Rain"	"1600"	820	"BLD"	"578"	"176010"	NA	"137340"	"5556"	"9975"	NA	NA	"9975"	9975	"578"	578	"HW"	"Honey"	"28-Jan-10"	"HW 019"	"HW 019"	""	"1/24/2010 5:08"	"1/25/2010 11:04"	NA	"Event"	"Mix"	"Mix"	"Rain"	2010-01-24 05:08:00	2010-01-25 11:04:00	13.108356545961	13.5	12.9	13	55.0827668523677	139.9926	16.56737	46.86055	1901.72701949861	2620	1190	1950	44.9070224719101	210	5.4	20	1.78161559888579	2.3	1.1	1.9
"HW 020"	"Milw Corridor Study USGS"	"33614 - 33615"	"Honey"	FALSE	"HW 020"	"3/1/2010 9:04"	"3/2/2010 9:19"	"1-Mar-10"	"Baseflow"	"Baseflow"	0	0	0	0	0	0	0	0	70.52	0	0	0	0	0	0	0	0	0	0	0	0	0	"3/1/2010"	2	"0010-03-01"	0	70.52	0	0	70.52	70.52	"Mar"	0	0	0	0	0	"HW"	"3/1/2010"	"3/2/2010 9:19"	8720	"USGSHW020"	"HW"	"4-Mar-10"	"Baseflow"	"200"	310	"8636"	""	"326590"	0	"51731"	"9066"	""	NA	NA	"9066"	9066	"8636"	8636	"HW"	"Honey"	"4-Mar-10"	"HW 020"	"HW 020"	""	"3/1/2010 9:04"	"3/2/2010 9:19"	NA	"Baseflow"	"Baseflow"	"Baseflow"	"Baseflow"	2010-03-01 09:04:00	2010-03-02 09:19:00	14.2536082474227	19.3	12	12.5	3.5484626185567	6.243196	2.007288	3.180154	5016.46048109966	5380	4630	5040	6.1639175257732	11	3	6	2.45601374570447	4.8	0.8	2.1
"HW 021"	"Milw Corridor Study USGS"	"33662 - 33663"	"Honey"	FALSE	"HW 021"	"3/9/2010 17:23"	"3/14/2010 10:46"	"9-Mar-10"	"Event"	"Mix"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"3/9/2010"	2	"0010-03-09"	0	0	0	0	0	0	"Mar"	0	0	0	0	0	"HW"	"3/9/2010"	"3/14/2010 10:46"	8750	"USGSHW021"	"HW"	"17-Mar-10"	"Rain"	"790"	34	"BLD"	"240"	"119751"	NA	"41753"	"BLD"	"3225"	NA	NA	"3225"	3225	"240"	240	"HW"	"Honey"	"17-Mar-10"	"HW 021"	"HW 021"	""	"3/9/2010 17:23"	"3/14/2010 10:46"	NA	"Event"	"Mix"	"Mix"	"Rain"	2010-03-09 17:23:00	2010-03-14 10:46:00	12.3706319702602	13.4	11.8	12.3	32.3038519644181	132.9029	14.7062	22.02279	1641.85873605948	2900	781	1660	40.5240060015004	400	3.7	16	4.28431226765799	5.8	2.8	4.4
"HW 023"	"Milw Corridor Study USGS"	"33682 - 33683"	"Honey"	FALSE	"HW 023"	"4/5/2010 22:28"	"4/6/2010 16:35"	"5-Apr-10"	"Event"	"Rainfall "	0	0	0	0	0	0	0	0	0	3.16	0	0	0	0	0	0	0	0	0	0	0	0	"4/5/2010"	3	"0010-04-05"	0	3.16	0	0	3.16	3.16	"Apr"	0	0	0	0	0	"HW"	"4/5/2010"	"4/6/2010 16:35"	8802	"USGSHW023"	"HW"	"10-Apr-10"	"Rain"	"3400"	1730	"BLD"	"1005"	"1527018"	NA	"48806"	"3605"	"4890"	NA	NA	"4890"	4890	"1005"	1005	"HW"	"Honey"	"10-Apr-10"	"HW 023"	"HW 023"	""	"4/5/2010 22:28"	"4/6/2010 16:35"	NA	"Event"	"Rainfall "	"Rainfall "	"Rain"	2010-04-05 22:28:00	2010-04-06 16:35:00	10.4527522935780	11.2	8.4	10.2	170.807334678899	1094.465	17.34821	62.23446	612.128440366972	2030	152	639	143.216589861751	480	20	110	10.3651376146789	12.4	9.2	10.25
"HW 024"	"Milw Corridor Study USGS"	"33716 - 33717"	"Honey"	FALSE	"HW 024"	"5/11/2010 4:50"	"5/12/2010 6:58"	"11-May-10"	"Event"	"Rainfall "	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"5/11/2010"	4	"0010-05-11"	0	0	0	0	0	0	"May"	0	0	0	0	0	"HW"	"5/11/2010"	"5/12/2010 6:58"	8946	"USGSHW024"	"HW"	"14-May-10"	"Rain"	"2500"	1800	"5764"	""	"1315096"	0	"131051"	"4792"	""	NA	NA	"4792"	4792	"5764"	5764	"HW"	"Honey"	"14-May-10"	"HW 024"	"HW 024"	"moved GLWI from HW 025 USGS"	"5/11/2010 4:50"	"5/12/2010 6:58"	NA	"Event"	"Rainfall "	"Rainfall "	NA	2010-05-11 04:50:00	2010-05-12 06:58:00	10.7171974522293	11.2	9.2	10.7	95.0360945859873	305.911	17.34821	45.46441	728.40127388535	2220	174	792.5	28.2497607655502	110	5	22	9.33089171974522	9.7	8.7	9.5
"HW 025"	"Milw Corridor Study USGS"	"33903 - 33902"	"Honey"	FALSE	"HW 025"	"5/13/2010 0:21"	"5/14/2010 6:26"	"13-May-10"	"Event"	"Rainfall "	0	0	0	0	0	0	0	0	0	0	0	0	0	0	175.2	0	0	0	0	0	0	0	"5/13/2010"	4	"0010-05-13"	0	0	0	175.2	0	175.2	"May"	1	0	0	0	0	"HW"	"5/13/2010"	"5/14/2010 6:26"	NA	""	""	""	""	""	NA	""	""	""	NA	""	""	""	NA	NA	""	NA	""	NA	""	""	""	""	"HW 025"	""	"5/13/2010 0:21"	"5/14/2010 6:26"	NA	"Event"	"Rainfall "	"Rainfall "	"Rain"	2010-05-13 00:21:00	2010-05-14 06:26:00	10.8650837988827	11.3	10.3	10.85	143.708750581717	593.5425	29.46773	69.99236	751.189944134078	1360	179	800	32.3593220338983	96	6.2	26.5	10.5217877094972	12.1	9	10.55
"HW 026"	"Milw Corridor Study USGS"	"33905 - 33904"	"Honey"	FALSE	"HW 026"	"5/18/2010 7:44"	"5/19/2010 6:13"	"19-May-10"	"Baseflow"	"Baseflow"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100.46	0	0	0	0	0	0	0	"5/19/2010"	4	"0010-05-19"	0	0	0	100.46	0	100.46	"May"	1	0	0	0	0	"HW"	"5/19/2010"	"5/19/2010 6:13"	8974	"USGSHW026"	"HW"	"21-May-10"	"Baseflow"	"70"	170	"1482"	""	"BLD"	NA	"9388"	"825"	""	NA	NA	"825"	825	"1482"	1482	"HW"	"Honey"	"21-May-10"	"HW 026"	"HW 026"	""	"5/18/2010 7:44"	"5/19/2010 6:13"	NA	"Baseflow"	"Baseflow"	"Baseflow"	"Baseflow"	2010-05-18 07:44:00	2010-05-19 06:13:00	10.0385185185185	12.2	8.7	9.4	7.01351504444444	7.623108	6.569577	6.90818	1931.40740740741	1970	1900	1930	1.11263940520446	1.7	0.7	1.1	13.6207407407407	17.7	10.5	13.1
"HW 027"	"Milw Corridor Study USGS"	"33907 - 33906"	"Honey"	FALSE	"HW 027"	"6/2/2010 17:36"	"6/3/2010 10:19"	"2-Jun-10"	"Event"	"Rainfall "	0	0	0	926.09	0	0	0	0	0	0	0	0	0	0	260.73	0	0	0	0	0	0	0	"6/2/2010"	5	"0010-06-02"	926.09	0	0	260.73	926.09	1186.82	"Jun"	1	0	0	0	1	"HW"	"6/2/2010"	"6/3/2010 10:19"	9029	"USGSHW027"	"HW"	"4-Jun-10"	"Rain"	"23000"	6500	"1310"	""	"1686507"	0	"426242"	"2534"	""	NA	NA	"2534"	2534	"1310"	1310	"HW"	"Honey"	"4-Jun-10"	"HW 027"	"HW 027"	"These are all lined up properly, but"	"6/2/2010 17:36"	"6/3/2010 10:19"	NA	"Event"	"Rainfall "	"Rainfall "	"Rain"	2010-06-02 17:36:00	2010-06-03 10:19:00	8.8465	9.5	5.9	8.8	184.671145766497	1319.552	2.988131	28.93192	673.615	1150	89	754.5	73.3295	310	3.1	59.5	16.5285	19.3	15.8	16.5
