"Study.Sample.ID"	"Study.Name"	"LIDE.Sample.ID"	"Site.Name"	"Sample.Combining.needed."	"USGS_ID"	"SSdate"	"SEdate"	"Collection.Start.Date"	"Sample.Type"	"Event.Type"	"Adenovirus.C.D.F"	"Adenovirus.A"	"Adenovirus.B"	"Enterovirus"	"G1.Norovirus"	"G2.Norovirus"	"HAV"	"Rotavirus"	"Campylobacter"	"Salmonella"	"EHEC"	"Cryptosporidium"	"BVDV1"	"BVDV2"	"Rotavirus.a"	"Rotavirus.c"	"Bovine.Enterovirus"	"Coronavirus"	"Bovine.Adenovirus"	"Bovine.Polyomavirus"	"Mycobacterium.Avium"	"Mycobacterium.Avium.paratuber"	"pdate"	"nmonth"	"ddate"	"Human_virus"	"Bacteria"	"Protozoa"	"Bovine_virus"	"Human"	"All_pathogens"	"cmonth"	"Rotavirus.a_occur"	"Bovine.Polyomavirus_occur"	"Adenovirus.C.D.F_occur"	"Adenovirus.A_occur"	"Enterovirus_occur"	"Abb2"	"Ddate"	"SEpdate"	"FT."	"Site.Code"	"Abb."	"Sample.Date"	"Event"	"Enterococci.CFU.100ml"	"E..coli.CFU.100ml"	"BacHuman.CN.100ml"	"RERUN.BacHuman.CN.100ml"	"BacSp.CN.100ml"	"Ratio.Human.Sp"	"Entero.CN.100ml"	"Lachno.2.CN.100ml"	"RERUN.Lachno.2.CN.100ml"	"Ruminant.CN.100ml"	"Cow.CN.100ml"	"lachno"	"lachnocen"	"BacHuman"	"BacHumancen"	"Abb2.1"	"GLWI.Site.Name"	"Sample.Date.1"	"GLWI.Study.Sample.ID"	"USGS_ID.1"	"X"	"Sample.Start.date.2"	"Sample.End.date.2"	"X.1"	"USGS.Sample.Type.2"	"USGS.Event.Type"	"USGS.Event.Type.2"	"GLWI.Event"	"Ebpdate"	"Eepdate"	"DO_mean"	"DO_max"	"DO_min"	"DO_median"	"DO_sd"	"Q_mean"	"Q_max"	"Q_min"	"Q_median"	"Q_sd"	"SC_mean"	"SC_max"	"SC_min"	"SC_median"	"SC_sd"	"TURB_mean"	"TURB_max"	"TURB_min"	"TURB_median"	"TURB_sd"	"WTEMP_mean"	"WTEMP_max"	"WTEMP_min"	"WTEMP_median"	"WTEMP_sd"	"Ebddate"	"AntBase"
"UW 019"	"Milw Corridor Study USGS"	"33999 - 33998"	"Underwood"	FALSE	"UW 019"	"8/20/2010 18:45"	"8/23/2010 5:09"	"20-Aug-10"	"Event"	"Rainfall "	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"8/20/2010"	7	"0010-08-20"	0	0	0	0	0	0	"Aug"	0	0	0	0	0	"UW"	"8/20/2010"	"8/23/2010 5:09"	9888	"USGSUW017"	"UW"	"23-Aug-10"	"Rain"	8700	9900	"4030"	""	1350340	0	207940	"2327"	NA	NA	NA	"2327"	2327	"4030"	4030	"UW"	"Underwood"	"23-Aug-10"	"UW 019"	"UW 019"	"Changed GLWI to match USGS"	"8/20/2010 18:45"	"8/23/2010 5:09"	NA	"Event"	"Rainfall "	"Rainfall "	"Rain"	2010-08-20 13:45:00	2010-08-23 00:09:00	8.29247159090909	12.7	6	7.4	1.68644925642535	46.1955393779904	361.9356	8.155295	25.17946	66.7978945249064	1069.36079545455	1500	305	1130	320.803894130459	14.2943181818182	140	2.9	5.5	20.5179925645791	22.6009943181818	28.8	18.5	22.3	2.44601144373815	2010-08-20	7.08
"UW 020"	"Milw Corridor Study USGS"	"34065 - 34064"	"Underwood"	FALSE	"UW 020"	"9/1/2010 3:24"	"9/1/2010 15:17"	"1-Sep-10"	"Event"	"Rainfall "	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"9/1/2010"	8	"0010-09-01"	0	0	0	0	0	0	"Sep"	0	0	0	0	0	"UW"	"9/1/2010"	"9/1/2010 15:17"	9764	"USGSUW020"	"UW"	"2-Sep-10"	"Rain"	21000	44000	"9054"	""	32388	0	368401	"14577"	NA	NA	NA	"14577"	14577	"9054"	9054	"HW"	"Underwood"	"2-Sep-10"	"UW 020"	"UW 020"	"Changed GLWI to match USGS"	"9/1/2010 3:24"	"9/1/2010 15:17"	NA	"Event"	"Rainfall "	"Rainfall "	"Rain"	2010-08-31 22:24:00	2010-09-01 10:17:00	8.31118881118881	9.8	7.2	8	0.983820155263195	54.729743	204.522	20.368	27.57722	51.7072280594491	678	997	341	717	189.083631545171	25.3457746478873	200	6.5	12	29.6723684613292	22.5188811188811	23.4	21.9	22.3	0.518930515708944	2010-08-31	5.01
"UW 021"	"Milw Corridor Study USGS"	"34123 - 34122"	"Underwood"	FALSE	"UW 021"	"9/13/2010 8:52"	"9/14/2010 7:41"	"13-Sep-10"	"Baseflow"	"Baseflow"	0	1.55	0	0.61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"9/13/2010"	8	"0010-09-13"	2.16	0	0	0	2.16	2.16	"Sep"	0	0	0	1	1	"UW"	"9/13/2010"	"9/14/2010 7:41"	10039	"USGSUW021"	"UW"	"14-Sep-10"	"Baseflow"	360	630	"BLD"	"BLD"	14101	NA	44941	"BLD"	0	NA	NA	"BLD"	60	"BLD"	60	"HW"	"Underwood"	"14-Sep-10"	"UW 021"	"UW 021"	"Changed GLWI to match USGS"	"9/13/2010 8:52"	"9/14/2010 7:41"	NA	"Baseflow"	"Baseflow"	"Baseflow"	"Baseflow"	2010-09-13 03:52:00	2010-09-14 02:41:00	10.3091240875912	16.2	7.2	8	3.38607750083909	5.28899291208791	5.849531	4.819252	5.255932	0.339743363969029	1564.70802919708	1660	1460	1570	59.9152833650738	2.76423357664234	4.7	2.4	2.7	0.351081474379327	17.8693430656934	24.7	13.6	16.65	3.74555290976159	2010-09-13	5.67
"UW 022"	"Milw Corridor Study USGS"	"34073 - 34072"	"Underwood"	FALSE	"UW 022"	"10/13/2010 8:08"	"10/14/2010 7:23"	"13-Oct-10"	"Baseflow"	"Baseflow"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"10/13/2010"	9	"0010-10-13"	0	0	0	0	0	0	"Oct"	0	0	0	0	0	"UW"	"10/13/2010"	"10/14/2010 7:23"	10122	"USGSUW020"	"UW"	"14-Oct-10"	"Baseflow"	20	250	"435"	""	175175	0	10058	"1518"	NA	NA	NA	"1518"	1518	"435"	435	"UW"	"Underwood"	"14-Oct-10"	"UW 022"	"UW 022"	"Changed GLWI to match USGS"	"10/13/2010 8:08"	"10/14/2010 7:23"	NA	"Baseflow"	"Baseflow"	"Baseflow"	"Baseflow"	2010-10-13 03:08:00	2010-10-14 02:23:00	10.4889285714286	16.9	7.2	8.5	3.4857290617106	2.53115183870968	2.799743	2.370879	2.487182	0.114374526465476	1547.46428571429	1670	1380	1565	96.8851746717348	2.03678571428571	4	1.6	2	0.296763347438663	13.4978571428571	18.7	9	13.4	3.17023495295507	2010-10-13	2.53
"UW 023"	"Milw Corridor Study USGS"	"34079 - 34078"	"Underwood"	FALSE	"UW 023"	"10/23/2010 23:42"	"10/24/2010 20:57"	"23-Oct-10"	"Event"	"Rainfall "	0	0	0	3.67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"10/23/2010"	9	"0010-10-23"	3.67	0	0	0	3.67	3.67	"Oct"	0	0	0	0	1	"UW"	"10/23/2010"	"10/24/2010 20:57"	10149	"USGSUW023"	"UW"	"25-Oct-10"	"Rain"	6000	26500	"BLD"	"1245"	1759236	NA	632168	"6232"	4973	NA	NA	"4973"	4973	"1245"	1245	"UW"	"Underwood"	"25-Oct-10"	"UW 023"	"UW 023"	""	"10/23/2010 23:42"	"10/24/2010 20:57"	NA	"Event"	"Rainfall "	"Rainfall "	"Rain"	2010-10-23 18:42:00	2010-10-24 15:57:00	8.71058823529412	9.6	7.8	8.8	0.512372172515383	47.5107138431373	157.4324	12.58325	31.2559	40.2088350645095	559.807843137255	771	235	599	159.144261603223	24.4196078431373	260	7.4	11	41.1192840347524	14.4117647058824	15.7	13.7	14.3	0.560036225917549	2010-10-23	2.43
"UW 024"	"Milw Corridor Study USGS"	"34087 - 34086"	"Underwood"	FALSE	"UW 024"	"10/26/2010 6:34"	"10/26/2010 23:20"	"26-Oct-10"	"Event"	"Rainfall "	0	0.26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"10/26/2010"	9	"0010-10-26"	0.26	0	0	0	0.26	0.26	"Oct"	0	0	0	1	0	"UW"	"10/26/2010"	"10/26/2010 23:20"	10214	"USGSUW024"	"UW"	"26-Oct-10"	"Rain"	36000	24000	"2634"	""	1365048	0	635639	"4191"	NA	NA	NA	"4191"	4191	"2634"	2634	"UW"	"Underwood"	"26-Oct-10"	"UW 024"	"UW 024"	""	"10/26/2010 6:34"	"10/26/2010 23:20"	NA	"Event"	"Rainfall "	"Rainfall "	"Rain"	2010-10-26 01:34:00	2010-10-26 18:20:00	8.57475247524753	9.3	7.8	8.6	0.379061669615845	35.0744717079208	156.9754	9.768795	19.29759	39.4240823756449	729.618811881188	1030	306	785	236.929462901137	25.309900990099	120	6.1	14	27.2493680786668	13.6549504950495	16	10.8	14	1.8321887646143	2010-10-26	3.39
"UW 025"	"Milw Corridor Study USGS"	"34095 - 34094"	"Underwood"	FALSE	"UW 025"	"11/10/2010 9:28"	"11/11/2010 7:43"	"10-Nov-10"	"Baseflow"	"Baseflow"	0	7.77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"11/10/2010"	10	"0010-11-10"	7.77	0	0	0	7.77	7.77	"Nov"	0	0	0	1	0	"UW"	"11/10/2010"	"11/11/2010 7:43"	10326	"USGSUW025"	"UW"	"11-Nov-10"	"Baseflow"	360	340	"BLD"	"180"	271677	NA	13690	"BLD"	278	NA	NA	"278"	278	"180"	180	"UW"	"Underwood"	"11-Nov-10"	"UW 025"	"UW 025"	""	"11/10/2010 9:28"	"11/11/2010 7:43"	NA	"Baseflow"	"Baseflow"	"Baseflow"	"Baseflow"	2010-11-10 04:28:00	2010-11-11 02:43:00	11.1477611940299	18.1	8.1	8.6	3.7114806481961	2.63672376404494	2.933949	2.487182	2.608382	0.084072209936678	1758.99253731343	1840	1690	1760	34.9224923000105	4.4365671641791	8.7	2.5	3.2	2.06774918047976	9.65783582089552	13.2	7.4	8.8	1.73048622204991	2010-11-10	2.63
"UW 026"	"Milw Corridor Study USGS"	"34113 - 34112"	"Underwood"	FALSE	"UW 026"	"11/22/2010 7:32"	"11/23/2010 0:40"	"22-Nov-10"	"Event"	"Rainfall "	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"11/22/2010"	10	"0010-11-22"	0	0	0	0	0	0	"Nov"	0	0	0	0	0	"UW"	"11/22/2010"	"11/23/2010 0:40"	10336	"USGSUW026"	"UW"	"23-Nov-10"	"Rain"	20300	23300	"6552"	""	9553416	0	675808	"40018"	NA	NA	NA	"40018"	40018	"6552"	6552	"UW"	"Underwood"	"23-Nov-10"	"UW 026"	"UW 026"	""	"11/22/2010 7:32"	"11/23/2010 0:40"	NA	"Event"	"Rainfall "	"Rainfall "	"Rain"	2010-11-22 02:32:00	2010-11-22 19:40:00	9.17912621359223	10.1	7.7	9.2	0.471635673356741	22.8151474306931	123.4843	4.512661	11.99382	25.2811637995461	714.300970873786	1660	430	688	244.229233980619	56.3592233009709	770	6.9	27	99.7188471428113	10.3252427184466	11.6	8.1	10.4	0.897662921863315	2010-11-22	2.72
"UW 027"	"Milw Corridor Study USGS"	"34129 - 34128"	"Underwood"	FALSE	"UW 027"	"11/29/2010 19:31"	"11/30/2010 17:26"	"29-Nov-10"	"Event"	"Rainfall "	0	0	0	0	0	0	0	0	20.55	0	0	0	0	0	0	0	0	0	0	0	0	0	"11/29/2010"	10	"0010-11-29"	0	20.55	0	0	20.55	20.55	"Nov"	0	0	0	0	0	"UW"	"11/29/2010"	"11/30/2010 17:26"	10340	"USGSUW027"	"UW"	"1-Dec-10"	"Rain"	7200	7300	"3650"	""	3512947	0	189173	"15907"	NA	NA	NA	"15907"	15907	"3650"	3650	"UW"	"Underwood"	"1-Dec-10"	"UW 027"	"UW 027"	""	"11/29/2010 19:31"	"11/30/2010 17:26"	NA	"Event"	"Rainfall "	"Rainfall "	"Rain"	2010-11-29 14:31:00	2010-11-30 12:26:00	10.9890566037736	12.3	10.2	10.6	0.749945109483635	13.5218507241379	23.89296	5.974958	12.82613	4.85675215402601	987.716981132075	1270	651	1000	183.334474241473	16.8075471698113	68	7.3	14	10.0044544824362	5.94452830188679	7.6	3.4	6.6	1.21336397840151	2010-11-29	3.51
"UW 028"	"Milw Corridor Study USGS"	"34327 - 34326"	"Underwood"	FALSE	"UW 028"	"12/11/2010 16:15"	"12/12/2010 16:43"	"11-Dec-10"	"Event"	"Mix"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"12/11/2010"	11	"0010-12-11"	0	0	0	0	0	0	"Dec"	0	0	0	0	0	"UW"	"12/11/2010"	"12/12/2010 16:43"	10360	"USGSUW028"	"UW"	"13-Dec-10"	"Rain"	2900	3600	"4763"	""	2252455	0	211968	"14930"	NA	NA	NA	"14930"	14930	"4763"	4763	"UW"	"Underwood"	"13-Dec-10"	"UW 028"	"UW 028"	""	"12/11/2010 16:15"	"12/12/2010 16:43"	NA	"Event"	"Mix"	"Mix"	"Rain"	2010-12-11 11:15:00	2010-12-12 11:43:00	13.0935593220339	13.7	12	13	0.382694362658275	67.164786292517	147.0614	14.37028	45.600465	48.5730721854186	2324.8813559322	4340	842	2730	991.389241787931	41.871186440678	260	13	25	47.2135510743489	1.04406779661017	2	0	0.9	0.587474470842255	2010-12-11	3.4
