Study.Sample.ID	Study.Name	LIDE.Sample.ID	Site.Name	Sample.Combining.needed.	USGS_ID	SSdate	SEdate	Collection.Start.Date	Sample.Type	Event.Type	Adenovirus.C.D.F	Adenovirus.A	Adenovirus.B	Enterovirus	G1.Norovirus	G2.Norovirus	HAV	Rotavirus	Campylobacter	Salmonella	EHEC	Cryptosporidium	BVDV1	BVDV2	Rotavirus.a	Rotavirus.c	Bovine.Enterovirus	Coronavirus	Bovine.Adenovirus	Bovine.Polyomavirus	Mycobacterium.Avium	Mycobacterium.Avium.paratuber	pdate	nmonth	ddate	Human_virus	Bacteria	Protozoa	Bovine_virus	Human	All_pathogens	cmonth	Rotavirus.a_occur	Bovine.Polyomavirus_occur	Adenovirus.C.D.F_occur	Adenovirus.A_occur	Enterovirus_occur	Abb2	Ddate	SEpdate	FT.	Site.Code	Abb.	Sample.Date	Event	Enterococci.CFU.100ml	E..coli.CFU.100ml	BacHuman.CN.100ml	RERUN.BacHuman.CN.100ml	BacSp.CN.100ml	Ratio.Human.Sp	Entero.CN.100ml	Lachno.2.CN.100ml	RERUN.Lachno.2.CN.100ml	Ruminant.CN.100ml	Cow.CN.100ml	lachno	lachnocen	BacHuman	BacHumancen	Abb2.1	GLWI.Site.Name	Sample.Date.1	GLWI.Study.Sample.ID	USGS_ID.1	X	Sample.Start.date.2	Sample.End.date.2	X.1	USGS.Sample.Type.2	USGS.Event.Type	USGS.Event.Type.2	GLWI.Event	Ebpdate	Eepdate	DO_mean	DO_max	DO_min	DO_median	DO_sd	Q_mean	Q_max	Q_min	Q_median	Q_sd	SC_mean	SC_max	SC_min	SC_median	SC_sd	TURB_mean	TURB_max	TURB_min	TURB_median	TURB_sd	WTEMP_mean	WTEMP_max	WTEMP_min	WTEMP_median	WTEMP_sd
MF 013	Milw Corridor Study USGS	33550 - 33551	Meno Falls	FALSE	MF 013	11/17/2009 17:30	11/18/2009 14:38	17-Nov-09	Baseflow	Baseflow	14.35	30.14	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11/17/2009	10	0009-11-17	44.49	NA	NA	NA	NA	NA	Nov	NA	NA	1	1	0	MF	11/17/2009	11/18/2009 14:38	8669	USGSMF013	MF	21-Nov-09	Rain	450	2200	1603	773	136532	0	16677	BLD	1020	NA	NA	1020	1020	773	773	MF	Meno Falls	21-Nov-09	MF 013	MF 013		11/17/2009 17:30	11/18/2009 14:38	NA	Baseflow	Baseflow	Baseflow	Rain	11/17/2009 22:30	11/18/2009 19:38	11.58267717	13.2	10.8	11.3	0.581614828	10.5580434	12.9355	9.838399	10.5937	0.524653482	1156.299213	1180	1120	1160	9.682970635	4.012598425	6.9	3.3	3.8	0.709505437	6.267322835	7.1	5.7	6.3	0.281713977
MF 014	Milw Corridor Study USGS	33573 - 33574	Meno Falls	FALSE	MF 014	12/24/2009 23:28	12/27/2009 17:29	24-Dec-09	Event	Mix	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	12/24/2009	11	0009-12-24	0	NA	NA	NA	NA	NA	Dec	NA	NA	0	0	0	MF	12/24/2009	12/27/2009 17:29	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	MF 014	did not receive	12/24/2009 23:28	12/27/2009 17:29	NA	Event	Mix	Mix	NA	12/25/2009 4:28	12/27/2009 22:29	13.9540404	14.2	13.7	14	0.113707049	130.2626916	159.1727	24.89764	138.5883	27.13583705	1161.512626	2880	912	1020	430.8722284	33.07954545	82	13	31	14.42562286	0.106439394	0.4	0	0.1	0.095520128
MF 015	Milw Corridor Study USGS	33592 - 33593	Meno Falls	FALSE	MF 015	1/20/2010 9:47	1/21/2010 4:24	20-Jan-10	Baseflow	Baseflow	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1/20/2010	0	0010-01-20	0	NA	NA	NA	NA	NA	Jan	NA	NA	0	0	0	MF	1/20/2010	1/21/2010 4:24	8696	USGSMF015	MF	23-Jan-10	Baseflow	17	15	1110		76372	0	5111	1089		NA	NA	1089	1089	1110	1110	MF	Meno Falls	23-Jan-10	MF 015	MF 015		1/20/2010 9:47	1/21/2010 4:24	NA	Baseflow	Baseflow	Baseflow	Baseflow	1/20/2010 14:47	1/21/2010 9:24	14.22107623	14.7	14	14	0.273210325	17.18637757	17.70421	16.40079	17.26105	0.317631391	1171.076233	1180	1170	1170	3.106012794	1.920627803	2.5	1.6	2	0.145272532	0	0	0	0	0
MF 016	Milw Corridor Study USGS	33600 - 33601	Meno Falls	FALSE	MF 016	1/24/2010 7:13	1/26/2010 9:06	24-Jan-10	Event	Mix	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1/24/2010	0	0010-01-24	0	NA	NA	NA	NA	NA	Jan	NA	NA	0	0	0	MF	1/24/2010	1/26/2010 9:06	8705	USGSMF016	MF	28-Jan-10	Rain	340	230	2441		477166	0	47057	3419		NA	NA	3419	3419	2441	2441	MF	Meno Falls	28-Jan-10	MF 016	MF 016		1/24/2010 7:13	1/26/2010 9:06	NA	Event	Mix	Mix	Rain	1/24/2010 12:13	1/26/2010 14:06	13.63088481	13.9	13.3	13.6	0.107872641	116.1497073	201.0166	60.48548	113.6948	17.49678441	1164.829716	1720	957	1070	231.680016	15.58547579	59	5.6	12	10.96283351	0.231385643	0.6	0	0.2	0.16825859
MF 017	Milw Corridor Study USGS	33622 - 33623	Meno Falls	FALSE	MF 017	3/1/2010 8:59	3/2/2010 1:51	1-Mar-10	Baseflow	Baseflow	0	331.74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3/1/2010	2	0010-03-01	331.74	0	0	0	331.74	331.74	Mar	0	0	0	1	0	MF	3/1/2010	3/2/2010 1:51	8721	USGSMF017	MF	4-Mar-10	Baseflow	6	20	BLD	236	163866	NA	8617	541	941	NA	NA	941	941	236	236	MF	Meno Falls	4-Mar-10	MF 017	MF 017		3/1/2010 8:59	3/2/2010 1:51	NA	Baseflow	Baseflow	Baseflow	Baseflow	3/1/2010 13:59	3/2/2010 6:51	14.04926108	15.6	12.5	14.1	1.03829494	14.25167221	14.78108	13.28932	14.39644	0.460037529	1366.945813	1450	1320	1360	25.5345237	5.067487685	8.5	3.2	4	1.83117316	1.848768473	2.8	0.9	1.9	0.342292736
MF 018	Milw Corridor Study USGS	33660 - 33661	Meno Falls	FALSE	MF 018	3/9/2010 17:03	3/14/2010 14:31	9-Mar-10	Event	Mix	0	37.12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3/9/2010	2	0010-03-09	37.12	0	0	0	37.12	37.12	Mar	0	0	0	1	0	MF	3/9/2010	3/14/2010 14:31	8747	USGSMF018	MF	17-Mar-10	Rain	0	0	BLD	BLD	19527	NA	1407	BLD	195	NA	NA	195	195	BLD	60	MF	Meno Falls	17-Mar-10	MF 018	MF 018		3/9/2010 17:03	3/14/2010 14:31	NA	Event	Mix	Mix	Rain	3/9/2010 22:03	3/14/2010 19:31	12.90893617	13.5	12.2	12.9	0.264732553	162.6286092	267.1138	33.273	171.8344	78.25470272	900.8780142	1450	600	801	287.5680547	15.57927608	61	6.4	14	7.543040086	2.322978723	3.9	0.9	2.3	0.653133241
MF 020	Milw Corridor Study USGS	33690 - 33691	Meno Falls	FALSE	MF 020	4/6/2010 22:43	4/8/2010 13:47	6-Apr-10	Event	Rainfall 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4/6/2010	3	0010-04-06	0	0	0	0	0	0	Apr	0	0	0	0	0	MF	4/6/2010	4/8/2010 13:47	8800	USGSMF020	MF	10-Apr-10	Rain	480	440	BLD	225	155947	NA	10086	BLD	900	NA	NA	900	900	225	225	MF	Meno Falls	10-Apr-10	MF 020	MF 020		4/6/2010 22:43	4/8/2010 13:47	NA	Event	Rainfall 	Rainfall 	Rain	4/7/2010 3:43	4/8/2010 18:47	11.0466951	12	10.2	10.9	0.478261134	132.0554494	165.4199	91.01955	139.994	17.31729147	880.8379531	997	783	846	57.35538642	15.71599147	120	8.8	14	7.982937208	8.326652452	10.8	6.1	8.8	1.405982976
MF 021	Milw Corridor Study USGS	33698 - 33699	Meno Falls	FALSE	MF 021	4/24/2010 23:07	4/26/2010 7:39	24-Apr-10	Event	Rainfall 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4/24/2010	3	0010-04-24	0	0	0	0	0	0	Apr	0	0	0	0	0	MF	4/24/2010	4/26/2010 7:39	8856	USGSMF021	MF	28-Apr-10	Rain	410	620	BLD	705	237132	NA	25764	BLD	1298	NA	NA	1298	1298	705	705	MF	Meno Falls	28-Apr-10	MF 021	MF 021		4/24/2010 23:07	4/26/2010 7:39	NA	Event	Rainfall 	Rainfall 	Rain	4/25/2010 4:07	4/26/2010 12:39	10.79333333	11.1	10.4	10.8	0.117193693	225.4553095	306.4006	95.27883	231.4482	34.50782452	612.0769231	870	436	619	69.13010149	26.29015544	78	11	22	12.31802634	9.076153846	9.8	8.1	9.1	0.361047572
MF 022	Milw Corridor Study USGS	33953 - 33952	Meno Falls	FALSE	MF 022	5/18/2010 11:04	5/19/2010 11:53	18-May-10	Baseflow	Baseflow	0	0.11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5/18/2010	4	0010-05-18	0.11	0	0	0	0.11	0.11	May	0	0	0	1	0	MF	5/18/2010	5/19/2010 11:53	8971	USGSMF022	MF	21-May-10	Baseflow	60	40	BLD	240	55874	NA	3355	BLD	360	NA	NA	360	360	240	240	MF	Meno Falls	21-May-10	MF 022	MF 022		5/18/2010 11:04	5/19/2010 11:53	NA	Baseflow	Baseflow	Baseflow	Baseflow	5/18/2010 16:04	5/19/2010 16:53	9.61409396	10.6	9	9.45	0.481163032	43.07787513	51.20136	36.63482	41.76496	3.953240912	857.3020134	867	846	857	5.320951154	7.631879195	16	5.6	7.1	2.047916859	15.11711409	16.2	13.4	15.15	0.80063678
MF 023	Milw Corridor Study USGS	33955 - 33954	Meno Falls	FALSE	MF 023	6/15/2010 15:14	6/16/2010 10:21	15-Jun-10	Event	Rainfall 	0	2.69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6/15/2010	5	0010-06-15	2.69	0	0	0	2.69	2.69	Jun	0	0	0	1	0	MF	6/15/2010	6/16/2010 10:21	9312	USGSMF023	MF	18-Jun-10	CSO	14400	4500	2824		49360	0	93358	2749		NA	NA	2749	2749	2824	2824	MF	Meno Falls	18-Jun-10	MF 023	MF 023		6/15/2010 15:14	6/16/2010 10:21	NA	Event	Rainfall 	CSO	CSO	6/15/2010 20:14	6/16/2010 15:21	8.36017316	8.9	8	8.3	0.230251215	36.86095062	59.66999	14.78108	36.63482	5.831203173	760.4372294	1040	349	767	136.450992	28.15217391	140	11	22	18.82900229	18.72597403	19.5	18.1	18.9	0.434912064
MF 025	Milw Corridor Study USGS	33958 - 33957	Meno Falls	FALSE	MF 025	7/13/2010 8:29	7/14/2010 5:57	13-Jul-10	Baseflow	Baseflow	0	0	0	0	0	0	0	0	0	0.21	0	0	0	0	0	0	0	0	0	0	0	0	7/13/2010	6	0010-07-13	0	0.21	0	0	0.21	0.21	Jul	0	0	0	0	0	MF	7/13/2010	7/14/2010 5:57	9456	USGSMF025	MF	16-Jul-10	Baseflow	170	280	BLD	BLD	1289	NA	2527	BLD	233	NA	NA	233	233	BLD	60	MF	Meno Falls	16-Jul-10	MF 025	MF 025		7/13/2010 8:29	7/14/2010 5:57	NA	Baseflow	Baseflow	Baseflow	Baseflow	7/13/2010 13:29	7/14/2010 10:57	7.691891892	8.5	7.1	7.6	0.405165164	8.805788058	10.21023	7.836451	8.789982	0.587156663	981.7683398	987	974	981	2.190625186	11.25250965	17	8.6	11	1.593939429	24.01853282	25.5	22.3	24	1.025736722
MF 026	Milw Corridor Study USGS	34570 - 34569	Meno Falls	FALSE	MF 026	7/15/2010 7:07	7/16/2010 7:19	15-Jul-10	Event	Rainfall 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7/15/2010	6	0010-07-15	0	0	0	0	0	0	Jul	0	0	0	0	0	MF	7/15/2010	7/16/2010 7:19	9497	USGSMF026	MF	16-Jul-10	CSO	9900	5000	BLD	203	2376	NA	78531	BLD	428	NA	NA	428	428	203	203	MF	Meno Falls	16-Jul-10	MF 026	MF 026		7/15/2010 7:07	7/16/2010 7:19	NA	Event	Rainfall 	CSO	CSO	7/15/2010 12:07	7/16/2010 12:19	8.067010309	8.3	7.9	8.1	0.110223894	349.1170424	405.3587	267.1138	367.03285	45.95122381	357.7182131	380	258	371	27.31330947	41.37800687	63	26	41	10.83964932	22.87697595	24.1	21.7	22.8	0.787960569
MF 027	Milw Corridor Study USGS	33960 - 33959	Meno Falls	TRUE	MF 027	7/22/2010 16:27	7/23/2010 12:05	22-Jul-10	Event	Rainfall 	0	0	0	0	0	0	0	0	0.1	0.08	0.11	0	0	0	0	0	0	0	0	0	0	0	7/22/2010	6	0010-07-22	0	0.29	0	0	0.29	0.29	Jul	0	0	0	0	0	MF	7/22/2010	7/23/2010 12:05	9573	USGSMF027	MF	23-Jul-10	CSO	27000	10600	5352		9313	1	142137	6390		NA	NA	6390	6390	5352	5352	MF	Meno Falls	23-Jul-10	MF 027	MF 027		7/22/2010 16:27	7/23/2010 12:05	NA	Event	Rainfall 	CSO	CSO	7/22/2010 21:27	7/23/2010 17:05	8.208860759	8.3	8.1	8.2	0.03263774	494.6586373	1453.891	67.29298	432.3905	216.0396215	303.3248945	645	103	325	88.42621129	42.87553648	230	18	26	43.45535712	22.4814346	23.2	22	22.4	0.339230886
MF 028	Milw Corridor Study USGS	33962 - 33961	Meno Falls	TRUE	MF 027	7/23/2010 13:05	7/26/2010 0:12	23-Jul-10	Event	Rainfall 	0	0	0	0	0	0	0	0	0.12	0	0	0	0	0	0	0	0	0	0	0	0	0	7/23/2010	6	0010-07-23	0	0.12	0	0	0.12	0.12	Jul	0	0	0	0	0	MF	7/23/2010	7/26/2010 0:12	9610	USGSMF028	MF	26-Jul-10	CSO	190	330	BLD	BLD	BLD	NA	5814	BLD	420	NA	NA	420	420	BLD	60	MF	Meno Falls	26-Jul-10	MF 028	MF 027	Changed USGS to MF 028	7/23/2010 13:05	7/26/2010 0:12	NA	Event	Rainfall 	CSO	CSO	7/23/2010 18:05	7/26/2010 5:12	8.124331927	8.2	8	8.1	0.070301741	479.2522175	605.3875	373.9314	480.166	45.90573971	365.5935302	437	305	365	38.07641557	11.15907173	21	6.2	9.6	4.030220171	23.34964838	24.4	22.5	23.2	0.535444283
MF 031	Milw Corridor Study USGS	34063 - 34062	Meno Falls	FALSE	MF 031	9/1/2010 2:01	9/1/2010 14:08	1-Sep-10	Event	Rainfall 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9/1/2010	8	0010-09-01	0	0	0	0	0	0	Sep	0	0	0	0	0	MF	9/1/2010	9/1/2010 14:08	9765	USGSMF029	MF	2-Sep-10	Rain	8900	11200	BLD	585	27919	NA	120867	5578	5993	NA	NA	5993	5993	585	585	MF	Meno Falls	2-Sep-10	MF 031	MF 031	Changed GLWI to match USGS	9/1/2010 2:01	9/1/2010 14:08	NA	Event	Rainfall 	Rainfall 	Rain	9/1/2010 7:01	9/1/2010 19:08	7.809655172	8.3	7.2	7.8	0.250921673	41.53678796	118.6552	5.101953	31.99572	24.37761262	543.7103448	1010	242	523	158.4055062	32.8115942	130	5.9	23	25.86297998	23.60758621	24.6	23	23.6	0.384975244
