"Study.Sample.ID"	"Study.Name"	"LIDE.Sample.ID"	"Site.Name"	"Sample.Combining.needed."	"USGS_ID"	"SSdate"	"SEdate"	"Collection.Start.Date"	"Sample.Type"	"Event.Type"	"Adenovirus.C.D.F"	"Adenovirus.A"	"Adenovirus.B"	"Enterovirus"	"G1.Norovirus"	"G2.Norovirus"	"HAV"	"Rotavirus"	"Campylobacter"	"Salmonella"	"EHEC"	"Cryptosporidium"	"BVDV1"	"BVDV2"	"Rotavirus.a"	"Rotavirus.c"	"Bovine.Enterovirus"	"Coronavirus"	"Bovine.Adenovirus"	"Bovine.Polyomavirus"	"Mycobacterium.Avium"	"Mycobacterium.Avium.paratuber"	"pdate"	"nmonth"	"ddate"	"Human_virus"	"Bacteria"	"Protozoa"	"Bovine_virus"	"Human"	"All_pathogens"	"cmonth"	"Rotavirus.a_occur"	"Bovine.Polyomavirus_occur"	"Adenovirus.C.D.F_occur"	"Adenovirus.A_occur"	"Enterovirus_occur"	"Abb2"	"Ddate"	"SEpdate"	"FT."	"Site.Code"	"Abb."	"Sample.Date"	"Event"	"Enterococci.CFU.100ml"	"E..coli.CFU.100ml"	"BacHuman.CN.100ml"	"RERUN.BacHuman.CN.100ml"	"BacSp.CN.100ml"	"Ratio.Human.Sp"	"Entero.CN.100ml"	"Lachno.2.CN.100ml"	"RERUN.Lachno.2.CN.100ml"	"Ruminant.CN.100ml"	"Cow.CN.100ml"	"lachno"	"lachnocen"	"BacHuman"	"BacHumancen"	"Abb2.1"	"GLWI.Site.Name"	"Sample.Date.1"	"GLWI.Study.Sample.ID"	"USGS_ID.1"	"X"	"Sample.Start.date.2"	"Sample.End.date.2"	"X.1"	"USGS.Sample.Type.2"	"USGS.Event.Type"	"USGS.Event.Type.2"	"GLWI.Event"	"Ebpdate"	"Eepdate"	"DO_mean"	"DO_max"	"DO_min"	"DO_median"	"DO_sd"	"Q_mean"	"Q_max"	"Q_min"	"Q_median"	"Q_sd"	"SC_mean"	"SC_max"	"SC_min"	"SC_median"	"SC_sd"	"TURB_mean"	"TURB_max"	"TURB_min"	"TURB_median"	"TURB_sd"	"WTEMP_mean"	"WTEMP_max"	"WTEMP_min"	"WTEMP_median"	"WTEMP_sd"
"MF 013"	"Milw Corridor Study USGS"	"33550 - 33551"	"Meno Falls"	FALSE	"MF 013"	"11/17/2009 17:30"	"11/18/2009 14:38"	"17-Nov-09"	"Baseflow"	"Baseflow"	14.35	30.14	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"11/17/2009"	10	"0009-11-17"	44.49	NA	NA	NA	NA	NA	"Nov"	NA	NA	1	1	0	"MF"	"11/17/2009"	"11/18/2009 14:38"	8669	"USGSMF013"	"MF"	"21-Nov-09"	"Rain"	"450"	2200	"1603"	"773"	"136532"	0	"16677"	"BLD"	"1020"	NA	NA	"1020"	1020	"773"	773	"MF"	"Meno Falls"	"21-Nov-09"	"MF 013"	"MF 013"	""	"11/17/2009 17:30"	"11/18/2009 14:38"	NA	"Baseflow"	"Baseflow"	"Baseflow"	"Rain"	2009-11-17 23:30:00	2009-11-18 20:38:00	11.6043307086614	13.2	10.8	11.3	0.605133625266969	10.6296898791209	12.9355	9.838399	10.5937	0.65125984690939	1153.93700787402	1180	1090	1160	15.3307400157581	4.19527559055118	8.3	3.4	3.9	0.985536371505348	6.28937007874016	7.2	5.7	6.3	0.299547083754398
"MF 014"	"Milw Corridor Study USGS"	"33573 - 33574"	"Meno Falls"	FALSE	"MF 014"	"12/24/2009 23:28"	"12/27/2009 17:29"	"24-Dec-09"	"Event"	"Mix"	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"12/24/2009"	11	"0009-12-24"	0	NA	NA	NA	NA	NA	"Dec"	NA	NA	0	0	0	"MF"	"12/24/2009"	"12/27/2009 17:29"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"MF 014"	"did not receive"	"12/24/2009 23:28"	"12/27/2009 17:29"	NA	"Event"	"Mix"	"Mix"	NA	2009-12-25 05:28:00	2009-12-27 23:29:00	13.9569444444444	14.2	13.7	14	0.11233531593184	130.638116628788	159.1727	26.08824	137.1925	25.9663598545265	1141.28914141414	2880	912	1010	406.801623700086	33.4520202020202	82	13	32	14.4136198043051	0.108207070707071	0.4	0	0.1	0.09471932081167
"MF 015"	"Milw Corridor Study USGS"	"33592 - 33593"	"Meno Falls"	FALSE	"MF 015"	"1/20/2010 9:47"	"1/21/2010 4:24"	"20-Jan-10"	"Baseflow"	"Baseflow"	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"1/20/2010"	0	"0010-01-20"	0	NA	NA	NA	NA	NA	"Jan"	NA	NA	0	0	0	"MF"	"1/20/2010"	"1/21/2010 4:24"	8696	"USGSMF015"	"MF"	"23-Jan-10"	"Baseflow"	"17"	15	"1110"	""	"76372"	0	"5111"	"1089"	""	NA	NA	"1089"	1089	"1110"	1110	"MF"	"Meno Falls"	"23-Jan-10"	"MF 015"	"MF 015"	""	"1/20/2010 9:47"	"1/21/2010 4:24"	NA	"Baseflow"	"Baseflow"	"Baseflow"	"Baseflow"	2010-01-20 15:47:00	2010-01-21 10:24:00	14.2080717488789	14.7	14	14	0.277419502584975	17.1567864864865	17.70421	16.40079	17.26105	0.312392444282861	1170.58295964126	1180	1170	1170	2.34829365560580	1.93363228699552	2.5	1.6	2	0.138162944790615	0	0	0	0	0
"MF 016"	"Milw Corridor Study USGS"	"33600 - 33601"	"Meno Falls"	FALSE	"MF 016"	"1/24/2010 7:13"	"1/26/2010 9:06"	"24-Jan-10"	"Event"	"Mix"	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"1/24/2010"	0	"0010-01-24"	0	NA	NA	NA	NA	NA	"Jan"	NA	NA	0	0	0	"MF"	"1/24/2010"	"1/26/2010 9:06"	8705	"USGSMF016"	"MF"	"28-Jan-10"	"Rain"	"340"	230	"2441"	""	"477166"	0	"47057"	"3419"	""	NA	NA	"3419"	3419	"2441"	2441	"MF"	"Meno Falls"	"28-Jan-10"	"MF 016"	"MF 016"	""	"1/24/2010 7:13"	"1/26/2010 9:06"	NA	"Event"	"Mix"	"Mix"	"Rain"	2010-01-24 13:13:00	2010-01-26 15:06:00	13.6417362270451	14.1	13.3	13.6	0.118495264174966	116.364268998331	201.0166	89.97562	113.6948	16.9637950589674	1151.32220367279	1720	957	1050	223.477557606271	14.8330550918197	59	5.3	12	10.3132383598392	0.230217028380634	0.6	0	0.2	0.169511751086384
"MF 017"	"Milw Corridor Study USGS"	"33622 - 33623"	"Meno Falls"	FALSE	"MF 017"	"3/1/2010 8:59"	"3/2/2010 1:51"	"1-Mar-10"	"Baseflow"	"Baseflow"	0	331.74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"3/1/2010"	2	"0010-03-01"	331.74	0	0	0	331.74	331.74	"Mar"	0	0	0	1	0	"MF"	"3/1/2010"	"3/2/2010 1:51"	8721	"USGSMF017"	"MF"	"4-Mar-10"	"Baseflow"	"6"	20	"BLD"	"236"	"163866"	NA	"8617"	"541"	"941"	NA	NA	"941"	941	"236"	236	"MF"	"Meno Falls"	"4-Mar-10"	"MF 017"	"MF 017"	""	"3/1/2010 8:59"	"3/2/2010 1:51"	NA	"Baseflow"	"Baseflow"	"Baseflow"	"Baseflow"	2010-03-01 14:59:00	2010-03-02 07:51:00	13.9758620689655	15.6	12.5	13.6	1.07185349813998	14.312055	14.78108	13.28932	14.39644	0.42788610860347	1371.08374384236	1450	1320	1360	30.2597317914828	5.28620689655172	8.5	3.2	4.2	1.87350122184882	1.89901477832512	2.8	1.1	1.9	0.296178656912045
"MF 018"	"Milw Corridor Study USGS"	"33660 - 33661"	"Meno Falls"	FALSE	"MF 018"	"3/9/2010 17:03"	"3/14/2010 14:31"	"9-Mar-10"	"Event"	"Mix"	0	37.12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"3/9/2010"	2	"0010-03-09"	37.12	0	0	0	37.12	37.12	"Mar"	0	0	0	1	0	"MF"	"3/9/2010"	"3/14/2010 14:31"	8747	"USGSMF018"	"MF"	"17-Mar-10"	"Rain"	"0"	0	"BLD"	"BLD"	"19527"	NA	"1407"	"BLD"	"195"	NA	NA	"195"	195	"BLD"	60	"MF"	"Meno Falls"	"17-Mar-10"	"MF 018"	"MF 018"	""	"3/9/2010 17:03"	"3/14/2010 14:31"	NA	"Event"	"Mix"	"Mix"	"Rain"	2010-03-09 23:03:00	2010-03-14 20:31:00	12.9080851063830	13.5	12.2	12.9	0.264786735813759	164.505806702128	267.1138	35.26071	171.8344	77.8186711759375	893.963120567376	1450	600	798.5	284.896400283406	15.5926188786373	61	7.7	14	7.52961686538196	2.32063829787234	3.9	0.9	2.3	0.648265374217573
"MF 020"	"Milw Corridor Study USGS"	"33690 - 33691"	"Meno Falls"	FALSE	"MF 020"	"4/6/2010 22:43"	"4/8/2010 13:47"	"6-Apr-10"	"Event"	"Rainfall "	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"4/6/2010"	3	"0010-04-06"	0	0	0	0	0	0	"Apr"	0	0	0	0	0	"MF"	"4/6/2010"	"4/8/2010 13:47"	8800	"USGSMF020"	"MF"	"10-Apr-10"	"Rain"	"480"	440	"BLD"	"225"	"155947"	NA	"10086"	"BLD"	"900"	NA	NA	"900"	900	"225"	225	"MF"	"Meno Falls"	"10-Apr-10"	"MF 020"	"MF 020"	""	"4/6/2010 22:43"	"4/8/2010 13:47"	NA	"Event"	"Rainfall "	"Rainfall "	"Rain"	2010-04-07 04:43:00	2010-04-08 19:47:00	11.0878464818763	12	10.4	10.9	0.487757656974632	133.053073987207	165.4199	106.5251	141.4093	16.7406747241882	878.309168443497	989	783	844	55.8513398169621	15.0021321961620	54	8.6	14	4.55250890436989	8.22835820895522	10.2	6.1	8.7	1.40286096244752
"MF 021"	"Milw Corridor Study USGS"	"33698 - 33699"	"Meno Falls"	FALSE	"MF 021"	"4/24/2010 23:07"	"4/26/2010 7:39"	"24-Apr-10"	"Event"	"Rainfall "	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"4/24/2010"	3	"0010-04-24"	0	0	0	0	0	0	"Apr"	0	0	0	0	0	"MF"	"4/24/2010"	"4/26/2010 7:39"	8856	"USGSMF021"	"MF"	"28-Apr-10"	"Rain"	"410"	620	"BLD"	"705"	"237132"	NA	"25764"	"BLD"	"1298"	NA	NA	"1298"	1298	"705"	705	"MF"	"Meno Falls"	"28-Apr-10"	"MF 021"	"MF 021"	""	"4/24/2010 23:07"	"4/26/2010 7:39"	NA	"Event"	"Rainfall "	"Rainfall "	"Rain"	2010-04-25 05:07:00	2010-04-26 13:39:00	10.8148717948718	11.1	10.4	10.8	0.106760472232083	229.941066666667	306.4006	108.8793	234.4559	26.6664114795866	603.676923076923	841	436	618	52.4038424656166	26.5284974093264	78	13	22	12.1075469142932	9.02538461538462	9.8	8.1	9.1	0.371679618193123
"MF 022"	"Milw Corridor Study USGS"	"33953 - 33952"	"Meno Falls"	FALSE	"MF 022"	"5/18/2010 11:04"	"5/19/2010 11:53"	"18-May-10"	"Baseflow"	"Baseflow"	0	0.11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"5/18/2010"	4	"0010-05-18"	0.11	0	0	0	0.11	0.11	"May"	0	0	0	1	0	"MF"	"5/18/2010"	"5/19/2010 11:53"	8971	"USGSMF022"	"MF"	"21-May-10"	"Baseflow"	"60"	40	"BLD"	"240"	"55874"	NA	"3355"	"BLD"	"360"	NA	NA	"360"	360	"240"	240	"MF"	"Meno Falls"	"21-May-10"	"MF 022"	"MF 022"	""	"5/18/2010 11:04"	"5/19/2010 11:53"	NA	"Baseflow"	"Baseflow"	"Baseflow"	"Baseflow"	2010-05-18 17:04:00	2010-05-19 17:53:00	9.5973154362416	10.6	9	9.45	0.45289139312828	42.5849390268456	50.47599	36.63482	41.76496	3.77578579100594	857.845637583893	868	848	857	5.4977495637323	7.50234899328859	16	5.6	7	1.94632378648415	15.2117449664430	16.3	13.9	15.3	0.755605076995904
"MF 023"	"Milw Corridor Study USGS"	"33955 - 33954"	"Meno Falls"	FALSE	"MF 023"	"6/15/2010 15:14"	"6/16/2010 10:21"	"15-Jun-10"	"Event"	"Rainfall "	0	2.69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"6/15/2010"	5	"0010-06-15"	2.69	0	0	0	2.69	2.69	"Jun"	0	0	0	1	0	"MF"	"6/15/2010"	"6/16/2010 10:21"	9312	"USGSMF023"	"MF"	"18-Jun-10"	"CSO"	"14400"	4500	"2824"	""	"49360"	0	"93358"	"2749"	""	NA	NA	"2749"	2749	"2824"	2824	"MF"	"Meno Falls"	"18-Jun-10"	"MF 023"	"MF 023"	""	"6/15/2010 15:14"	"6/16/2010 10:21"	NA	"Event"	"Rainfall "	"CSO"	"CSO"	2010-06-15 21:14:00	2010-06-16 16:21:00	8.38787878787879	8.9	8	8.3	0.258306025162105	37.737297092511	59.66999	26.08823	37.33685	4.28945777323321	750.43722943723	917	349	767	125.099522812610	28.2478260869565	140	16	22	18.6985829406158	18.7168831168831	19.5	18.1	18.8	0.433309588311194
