"Study.Sample.ID"	"Study.Name"	"LIDE.Sample.ID"	"Site.Name"	"Sample.Combining.needed."	"USGS_ID"	"SSdate"	"SEdate"	"Collection.Start.Date"	"Sample.Type"	"Event.Type"	"Adenovirus.C.D.F"	"Adenovirus.A"	"Adenovirus.B"	"Enterovirus"	"G1.Norovirus"	"G2.Norovirus"	"HAV"	"Rotavirus"	"Campylobacter"	"Salmonella"	"EHEC"	"Cryptosporidium"	"BVDV1"	"BVDV2"	"Rotavirus.a"	"Rotavirus.c"	"Bovine.Enterovirus"	"Coronavirus"	"Bovine.Adenovirus"	"Bovine.Polyomavirus"	"Mycobacterium.Avium"	"Mycobacterium.Avium.paratuber"	"pdate"	"nmonth"	"ddate"	"Human_virus"	"Bacteria"	"Protozoa"	"Bovine_virus"	"Human"	"All_pathogens"	"cmonth"	"Rotavirus.a_occur"	"Bovine.Polyomavirus_occur"	"Adenovirus.C.D.F_occur"	"Adenovirus.A_occur"	"Enterovirus_occur"	"Abb2"	"Ddate"	"SEpdate"	"FT."	"Site.Code"	"Abb."	"Sample.Date"	"Event"	"Enterococci.CFU.100ml"	"E..coli.CFU.100ml"	"BacHuman.CN.100ml"	"RERUN.BacHuman.CN.100ml"	"BacSp.CN.100ml"	"Ratio.Human.Sp"	"Entero.CN.100ml"	"Lachno.2.CN.100ml"	"RERUN.Lachno.2.CN.100ml"	"Ruminant.CN.100ml"	"Cow.CN.100ml"	"lachno"	"lachnocen"	"BacHuman"	"BacHumancen"	"Abb2.1"	"GLWI.Site.Name"	"Sample.Date.1"	"GLWI.Study.Sample.ID"	"USGS_ID.1"	"X"	"Sample.Start.date.2"	"Sample.End.date.2"	"X.1"	"USGS.Sample.Type.2"	"USGS.Event.Type"	"USGS.Event.Type.2"	"GLWI.Event"	"Ebpdate"	"Eepdate"	"DO_mean"	"DO_max"	"DO_min"	"DO_median"	"Q_mean"	"Q_max"	"Q_min"	"Q_median"	"SC_mean"	"SC_max"	"SC_min"	"SC_median"	"TURB_mean"	"TURB_max"	"TURB_min"	"TURB_median"	"WTEMP_mean"	"WTEMP_max"	"WTEMP_min"	"WTEMP_median"
"UW 019"	"Milw Corridor Study USGS"	"33999 - 33998"	"Underwood"	FALSE	"UW 019"	"8/20/2010 18:45"	"8/23/2010 5:09"	"20-Aug-10"	"Event"	"Rainfall "	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"8/20/2010"	7	"0010-08-20"	0	0	0	0	0	0	"Aug"	0	0	0	0	0	"UW"	"8/20/2010"	"8/23/2010 5:09"	9888	"USGSUW017"	"UW"	"23-Aug-10"	"Rain"	"8700"	9900	"4030"	""	"1350340"	0	"207940"	"2327"	""	NA	NA	"2327"	2327	"4030"	4030	"UW"	"Underwood"	"23-Aug-10"	"UW 019"	"UW 019"	"Changed GLWI to match USGS"	"8/20/2010 18:45"	"8/23/2010 5:09"	NA	"Event"	"Rainfall "	"Rainfall "	"Rain"	2010-08-20 13:45:00	2010-08-23 00:09:00	9.65376955903272	19.6	6	8.4	45.9532039483568	361.9356	7.212433	25.6214	1074.33854907539	1720	305	1110	14.8485754985755	140	2.9	5.5	23.6669985775249	29.5	19.6	22.8
"UW 020"	"Milw Corridor Study USGS"	"34065 - 34064"	"Underwood"	FALSE	"UW 020"	"9/1/2010 3:24"	"9/1/2010 15:17"	"1-Sep-10"	"Event"	"Rainfall "	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"9/1/2010"	8	"0010-09-01"	0	0	0	0	0	0	"Sep"	0	0	0	0	0	"UW"	"9/1/2010"	"9/1/2010 15:17"	9764	"USGSUW020"	"UW"	"2-Sep-10"	"Rain"	"21000"	44000	"9054"	""	"32388"	0	"368401"	"14577"	""	NA	NA	"14577"	14577	"9054"	9054	"HW"	"Underwood"	"2-Sep-10"	"UW 020"	"UW 020"	"Changed GLWI to match USGS"	"9/1/2010 3:24"	"9/1/2010 15:17"	NA	"Event"	"Rainfall "	"Rainfall "	"Rain"	2010-08-31 22:24:00	2010-09-01 10:17:00	6.42291666666667	12.1	4.9	5.3	53.95993109375	204.522	5.033502	5.143676	1495.40277777778	1720	373	1680	16.4845070422535	230	1.9	2.8	22.9618055555556	27.6	21.2	22.2
"UW 021"	"Milw Corridor Study USGS"	"34123 - 34122"	"Underwood"	FALSE	"UW 021"	"9/13/2010 8:52"	"9/14/2010 7:41"	"13-Sep-10"	"Baseflow"	"Baseflow"	0	1.55	0	0.61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"9/13/2010"	8	"0010-09-13"	2.16	0	0	0	2.16	2.16	"Sep"	0	0	0	1	1	"UW"	"9/13/2010"	"9/14/2010 7:41"	10039	"USGSUW021"	"UW"	"14-Sep-10"	"Baseflow"	"360"	630	"BLD"	"BLD"	"14101"	NA	"44941"	"BLD"	"0"	NA	NA	"BLD"	60	"BLD"	60	"HW"	"Underwood"	"14-Sep-10"	"UW 021"	"UW 021"	"Changed GLWI to match USGS"	"9/13/2010 8:52"	"9/14/2010 7:41"	NA	"Baseflow"	"Baseflow"	"Baseflow"	"Baseflow"	2010-09-13 03:52:00	2010-09-14 02:41:00	10.45	16.2	7.2	8.45	5.74937550549451	6.232786	5.255932	5.726386	1506.02189781022	1580	1430	1510	3.03956043956044	4.7	2.4	3.1	18.3025547445255	24.7	14.8	16.8
"UW 022"	"Milw Corridor Study USGS"	"34073 - 34072"	"Underwood"	FALSE	"UW 022"	"10/13/2010 8:08"	"10/14/2010 7:23"	"13-Oct-10"	"Baseflow"	"Baseflow"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"10/13/2010"	9	"0010-10-13"	0	0	0	0	0	0	"Oct"	0	0	0	0	0	"UW"	"10/13/2010"	"10/14/2010 7:23"	10122	"USGSUW020"	"UW"	"14-Oct-10"	"Baseflow"	"20"	250	"435"	""	"175175"	0	"10058"	"1518"	""	NA	NA	"1518"	1518	"435"	435	"UW"	"Underwood"	"14-Oct-10"	"UW 022"	"UW 022"	"Changed GLWI to match USGS"	"10/13/2010 8:08"	"10/14/2010 7:23"	NA	"Baseflow"	"Baseflow"	"Baseflow"	"Baseflow"	2010-10-13 03:08:00	2010-10-14 02:23:00	9.95607142857143	16.9	6.1	7.65	2.53185064516129	2.799743	2.370879	2.487182	1546.71428571429	1660	1380	1570	2.11285714285714	4.6	1.6	2	14.9614285714286	18.7	13.1	14.15
"UW 023"	"Milw Corridor Study USGS"	"34079 - 34078"	"Underwood"	FALSE	"UW 023"	"10/23/2010 23:42"	"10/24/2010 20:57"	"23-Oct-10"	"Event"	"Rainfall "	0	0	0	3.67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"10/23/2010"	9	"0010-10-23"	3.67	0	0	0	3.67	3.67	"Oct"	0	0	0	0	1	"UW"	"10/23/2010"	"10/24/2010 20:57"	10149	"USGSUW023"	"UW"	"25-Oct-10"	"Rain"	"6000"	26500	"BLD"	"1245"	"1759236"	NA	"632168"	"6232"	"4973"	NA	NA	"4973"	4973	"1245"	1245	"UW"	"Underwood"	"25-Oct-10"	"UW 023"	"UW 023"	""	"10/23/2010 23:42"	"10/24/2010 20:57"	NA	"Event"	"Rainfall "	"Rainfall "	"Rain"	2010-10-23 18:42:00	2010-10-24 15:57:00	8.18984375	11.8	4.8	8.7	54.3398833485714	157.4324	2.933949	33.56768	989.05078125	1650	235	770.5	24.06171875	260	3.6	10	14.0078125	14.6	13.3	14
"UW 024"	"Milw Corridor Study USGS"	"34087 - 34086"	"Underwood"	FALSE	"UW 024"	"10/26/2010 6:34"	"10/26/2010 23:20"	"26-Oct-10"	"Event"	"Rainfall "	0	0.26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"10/26/2010"	9	"0010-10-26"	0.26	0	0	0	0.26	0.26	"Oct"	0	0	0	1	0	"UW"	"10/26/2010"	"10/26/2010 23:20"	10214	"USGSUW024"	"UW"	"26-Oct-10"	"Rain"	"36000"	24000	"2634"	""	"1365048"	0	"635639"	"4191"	""	NA	NA	"4191"	4191	"2634"	2634	"UW"	"Underwood"	"26-Oct-10"	"UW 024"	"UW 024"	""	"10/26/2010 6:34"	"10/26/2010 23:20"	NA	"Event"	"Rainfall "	"Rainfall "	"Rain"	2010-10-26 01:34:00	2010-10-26 18:20:00	7.47425742574257	9.1	6.8	7.2	46.7550091300813	156.9754	4.512661	26.8148	990.282178217822	1380	296	1300	22.9138613861386	120	3.7	4.1	15.0747524752475	16.1	14.4	15
"UW 025"	"Milw Corridor Study USGS"	"34095 - 34094"	"Underwood"	FALSE	"UW 025"	"11/10/2010 9:28"	"11/11/2010 7:43"	"10-Nov-10"	"Baseflow"	"Baseflow"	0	7.77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"11/10/2010"	10	"0010-11-10"	7.77	0	0	0	7.77	7.77	"Nov"	0	0	0	1	0	"UW"	"11/10/2010"	"11/11/2010 7:43"	10326	"USGSUW025"	"UW"	"11-Nov-10"	"Baseflow"	"360"	340	"BLD"	"180"	"271677"	NA	"13690"	"BLD"	"278"	NA	NA	"278"	278	"180"	180	"UW"	"Underwood"	"11-Nov-10"	"UW 025"	"UW 025"	""	"11/10/2010 9:28"	"11/11/2010 7:43"	NA	"Baseflow"	"Baseflow"	"Baseflow"	"Baseflow"	2010-11-10 04:28:00	2010-11-11 02:43:00	11.6235074626866	18.1	8.1	9.4	2.60522475280899	2.933949	2.487182	2.608382	1773.32089552239	1810	1690	1780	4.01044776119403	8.7	2.4	2.7	8.83470149253731	13.2	6.2	7.8
"UW 026"	"Milw Corridor Study USGS"	"34113 - 34112"	"Underwood"	FALSE	"UW 026"	"11/22/2010 7:32"	"11/23/2010 0:40"	"22-Nov-10"	"Event"	"Rainfall "	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"11/22/2010"	10	"0010-11-22"	0	0	0	0	0	0	"Nov"	0	0	0	0	0	"UW"	"11/22/2010"	"11/23/2010 0:40"	10336	"USGSUW026"	"UW"	"23-Nov-10"	"Rain"	"20300"	23300	"6552"	""	"9553416"	0	"675808"	"40018"	""	NA	NA	"40018"	40018	"6552"	6552	"UW"	"Underwood"	"23-Nov-10"	"UW 026"	"UW 026"	""	"11/22/2010 7:32"	"11/23/2010 0:40"	NA	"Event"	"Rainfall "	"Rainfall "	"Rain"	2010-11-22 02:32:00	2010-11-22 19:40:00	8.1878640776699	9.8	7.1	7.8	26.9040546403509	123.4843	2.734651	13.970465	1373.51941747573	1860	447	1630	42.0019417475728	770	3.4	7.55	10.0665048543689	10.7	9.3	10.1
"UW 027"	"Milw Corridor Study USGS"	"34129 - 34128"	"Underwood"	FALSE	"UW 027"	"11/29/2010 19:31"	"11/30/2010 17:26"	"29-Nov-10"	"Event"	"Rainfall "	0	0	0	0	0	0	0	0	20.55	0	0	0	0	0	0	0	0	0	0	0	0	0	"11/29/2010"	10	"0010-11-29"	0	20.55	0	0	20.55	20.55	"Nov"	0	0	0	0	0	"UW"	"11/29/2010"	"11/30/2010 17:26"	10340	"USGSUW027"	"UW"	"1-Dec-10"	"Rain"	"7200"	7300	"3650"	""	"3512947"	0	"189173"	"15907"	""	NA	NA	"15907"	15907	"3650"	3650	"UW"	"Underwood"	"1-Dec-10"	"UW 027"	"UW 027"	""	"11/29/2010 19:31"	"11/30/2010 17:26"	NA	"Event"	"Rainfall "	"Rainfall "	"Rain"	2010-11-29 14:31:00	2010-11-30 12:26:00	11.4430188679245	14.5	10.2	10.5	12.6260998622754	23.89296	3.294045	13.07306	1268.81132075472	1680	651	1210	14.68	68	4.5	12	6.31056603773585	7.6	3	6.7
"UW 028"	"Milw Corridor Study USGS"	"34327 - 34326"	"Underwood"	FALSE	"UW 028"	"12/11/2010 16:15"	"12/12/2010 16:43"	"11-Dec-10"	"Event"	"Mix"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"12/11/2010"	11	"0010-12-11"	0	0	0	0	0	0	"Dec"	0	0	0	0	0	"UW"	"12/11/2010"	"12/12/2010 16:43"	10360	"USGSUW028"	"UW"	"13-Dec-10"	"Rain"	"2900"	3600	"4763"	""	"2252455"	0	"211968"	"14930"	""	NA	NA	"14930"	14930	"4763"	4763	"UW"	"Underwood"	"13-Dec-10"	"UW 028"	"UW 028"	""	"12/11/2010 16:15"	"12/12/2010 16:43"	NA	"Event"	"Mix"	"Mix"	"Rain"	2010-12-11 11:15:00	2010-12-12 11:43:00	12.6545762711864	13.4	11.7	12.9	79.0866530235849	147.0614	3.073675	77.851	2582.84745762712	4970	842	3000	41.0786440677966	260	3.6	26	1.57525423728814	2.9	0.4	1.6
"UW 029"	"Milw Corridor Study USGS"	"34329 - 34328"	"Underwood"	FALSE	"UW 029"	"12/19/2010 12:55"	"12/20/2010 3:01"	"19-Dec-10"	"Baseflow"	"Baseflow"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"12/19/2010"	11	"0010-12-19"	0	0	0	0	0	0	"Dec"	0	0	0	0	0	"UW"	"12/19/2010"	"12/20/2010 3:01"	10366	"USGSUW029"	"UW"	"20-Dec-10"	"Baseflow"	"160"	330	"902"	""	"2298856"	0	"82741"	"3231"	""	NA	NA	"3231"	3231	"902"	902	"UW"	"Underwood"	"20-Dec-10"	"UW 029"	"UW 029"	""	"12/19/2010 12:55"	"12/20/2010 3:01"	NA	"Baseflow"	"Baseflow"	"Baseflow"	"Baseflow"	2010-12-19 07:55:00	2010-12-19 22:01:00	13.58	14.7	12.8	13.3	3.8317001754386	4.039049	3.60901	3.862002	2121.05882352941	2170	2040	2150	3.53764705882353	3.8	3.3	3.5	0	0	0	0
"UW 030"	"Milw Corridor Study USGS"	"34560 - 34559"	"Underwood"	FALSE	"UW 030"	"1/5/2011 10:33"	"1/6/2011 8:21"	"5-Jan-11"	"Baseflow"	"Baseflow"	0	1.68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"1/5/2011"	0	"0011-01-05"	1.68	0	0	0	1.68	1.68	"Jan"	0	0	0	1	0	"UW"	"1/5/2011"	"1/6/2011 8:21"	10455	"USGSUW030"	"UW"	"6-Jan-11"	"Baseflow"	"170"	300	"457"	""	"1066779"	0	"26760"	"637"	""	NA	NA	"637"	637	"457"	457	"UW"	"Underwood"	"6-Jan-11"	"UW 030"	"UW 030"	""	"1/5/2011 10:33"	"1/6/2011 8:21"	NA	"Baseflow"	"Baseflow"	"Baseflow"	"Baseflow"	2011-01-05 05:33:00	2011-01-06 03:21:00	13.3458015267176	16	12	12.4	5.73762903448276	8.841431	4.223064	5.849531	2555.49618320611	2740	2350	2550	4.5206106870229	8.4	4.1	4.5	0	0	0	0
