"Study.Sample.ID"	"Study.Name"	"LIDE.Sample.ID"	"Site.Name"	"Sample.Combining.needed."	"USGS_ID"	"SSdate"	"SEdate"	"Collection.Start.Date"	"Sample.Type"	"Event.Type"	"Adenovirus.C.D.F"	"Adenovirus.A"	"Adenovirus.B"	"Enterovirus"	"G1.Norovirus"	"G2.Norovirus"	"HAV"	"Rotavirus"	"Campylobacter"	"Salmonella"	"EHEC"	"Cryptosporidium"	"BVDV1"	"BVDV2"	"Rotavirus.a"	"Rotavirus.c"	"Bovine.Enterovirus"	"Coronavirus"	"Bovine.Adenovirus"	"Bovine.Polyomavirus"	"Mycobacterium.Avium"	"Mycobacterium.Avium.paratuber"	"pdate"	"nmonth"	"ddate"	"Human_virus"	"Bacteria"	"Protozoa"	"Bovine_virus"	"Human"	"All_pathogens"	"cmonth"	"Rotavirus.a_occur"	"Bovine.Polyomavirus_occur"	"Adenovirus.C.D.F_occur"	"Adenovirus.A_occur"	"Enterovirus_occur"	"Abb2"	"Ddate"	"SEpdate"	"FT."	"Site.Code"	"Abb."	"Sample.Date"	"Event"	"Enterococci.CFU.100ml"	"E..coli.CFU.100ml"	"BacHuman.CN.100ml"	"RERUN.BacHuman.CN.100ml"	"BacSp.CN.100ml"	"Ratio.Human.Sp"	"Entero.CN.100ml"	"Lachno.2.CN.100ml"	"RERUN.Lachno.2.CN.100ml"	"Ruminant.CN.100ml"	"Cow.CN.100ml"	"lachno"	"lachnocen"	"BacHuman"	"BacHumancen"	"Abb2.1"	"GLWI.Site.Name"	"Sample.Date.1"	"GLWI.Study.Sample.ID"	"USGS_ID.1"	"X"	"Sample.Start.date.2"	"Sample.End.date.2"	"X.1"	"USGS.Sample.Type.2"	"USGS.Event.Type"	"USGS.Event.Type.2"	"GLWI.Event"	"Ebpdate"	"Eepdate"	"DO_mean"	"DO_max"	"DO_min"	"DO_median"	"DO_sd"	"Q_mean"	"Q_max"	"Q_min"	"Q_median"	"Q_sd"	"SC_mean"	"SC_max"	"SC_min"	"SC_median"	"SC_sd"	"TURB_mean"	"TURB_max"	"TURB_min"	"TURB_median"	"TURB_sd"	"WTEMP_mean"	"WTEMP_max"	"WTEMP_min"	"WTEMP_median"	"WTEMP_sd"
"MW 014"	"Milw Corridor Study USGS"	"33492 - 33493"	"70th St."	FALSE	"MW 014"	"10/1/2009 20:31"	"10/2/2009 9:24"	"1-Oct-09"	"Event"	"Rainfall "	1.73	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"10/1/2009"	9	"0009-10-01"	1.73	NA	NA	NA	NA	NA	"Oct"	NA	NA	1	0	0	"MW"	"10/1/2009"	"10/2/2009 9:24"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"MW 014"	"did not receive"	"10/1/2009 20:31"	"10/2/2009 9:24"	NA	"Event"	"Rainfall "	"Rainfall "	NA	2009-10-02 02:31:00	2009-10-02 15:24:00	9.43766233766234	10	9.2	9.5	0.181525101192995	455.153998051948	761.6351	269.4771	391.8689	148.359927372492	412.155844155844	827	225	411	120.455352283438	46.7034482758621	88	32	44	10.5212246712241	13.1987012987013	13.5	12.8	13.2	0.111429812011141
"MW 015"	"Milw Corridor Study USGS"	"33532 - 33533"	"70th St."	FALSE	"MW 015"	"10/22/2009 6:11"	"10/23/2009 19:13"	"22-Oct-09"	"Event"	"Rainfall "	9.53	33.06	0	0.65	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"10/22/2009"	9	"0009-10-22"	43.24	NA	NA	NA	NA	NA	"Oct"	NA	NA	1	1	1	"MW"	"10/22/2009"	"10/23/2009 19:13"	8653	"USGSMW015"	"MW"	"25-Oct-09"	"Rain"	"480"	780	"3067"	""	"1048144"	0	"34772"	"3473"	""	NA	NA	"3473"	3473	"3067"	3067	"MW"	"70th St."	"25-Oct-09"	"MW 015"	"MW 015"	""	"10/22/2009 6:11"	"10/23/2009 19:13"	NA	"Event"	"Rainfall "	"Rainfall "	"Rain"	2009-10-22 12:11:00	2009-10-24 01:13:00	9.99436936936937	10.4	9.1	9.9	0.237917618685262	473.080372800926	992.2587	50.71955	531.1082	278.282825130968	569.414414414414	1220	343	476.5	202.454374358638	37.3014851485148	71	9.8	37	13.6276356850535	10.1792792792793	11.7	9.1	10	0.744413913979239
"MW 016"	"Milw Corridor Study USGS"	"33554 - 33555"	"70th St."	FALSE	"MW 016"	"11/18/2009 7:10"	"11/18/2009 15:26"	"18-Nov-09"	"Baseflow"	"Baseflow"	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"11/18/2009"	10	"0009-11-18"	0	NA	NA	NA	NA	NA	"Nov"	NA	NA	0	0	0	"MW"	"11/18/2009"	"11/18/2009 15:26"	8667	"USGSMW016"	"MW"	"21-Nov-09"	"Rain"	"3800"	4100	"25775"	""	"509537"	0	"120702"	"21834"	""	NA	NA	"21834"	21834	"25775"	25775	"MW"	"70th St."	"21-Nov-09"	"MW 016"	"MW 016"	""	"11/18/2009 7:10"	"11/18/2009 15:26"	NA	"Baseflow"	"Baseflow"	"Baseflow"	"Rain"	2009-11-18 13:10:00	2009-11-18 21:26:00	11.837	12.3	11.3	11.8	0.240225062822514	64.3852664583333	130.4715	35.42912	47.756245	33.5821260323927	1316.3	1400	1180	1310	71.783273705219	9.48857142857143	29	3.3	5.85	6.7342848270997	6.683	7.1	6.3	6.7	0.262488094968134
"MW 017"	"Milw Corridor Study USGS"	"33577 - 33578"	"70th St."	FALSE	"MW 017"	"12/24/2009 20:14"	"12/28/2009 7:57"	"24-Dec-09"	"Event"	"Mix"	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"12/24/2009"	11	"0009-12-24"	0	NA	NA	NA	NA	NA	"Dec"	NA	NA	0	0	0	"MW"	"12/24/2009"	"12/28/2009 7:57"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"MW 017"	"did not receive"	"12/24/2009 20:14"	"12/28/2009 7:57"	NA	"Event"	"Mix"	"Mix"	NA	2009-12-25 02:14:00	2009-12-28 13:57:00	13.2438492063492	13.7	13	13.2	0.126999851743868	702.270658208955	1718.322	211.2744	589.8248	358.648892638937	1471.39880952381	4740	1080	1290	718.0906270368	28.059126984127	95	6.5	16	22.7456964955630	0.279861111111111	1	0	0.1	0.305658617126996
"MW 018"	"Milw Corridor Study USGS"	"33594 - 33595"	"70th St."	FALSE	"MW 018"	"1/20/2010 11:50"	"1/21/2010 11:18"	"20-Jan-10"	"Baseflow"	"Baseflow"	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"1/20/2010"	0	"0010-01-20"	0	NA	NA	NA	NA	NA	"Jan"	NA	NA	0	0	0	"MW"	"1/20/2010"	"1/21/2010 11:18"	8698	"USGSMW018"	"MW"	"23-Jan-10"	"Baseflow"	"30"	26	"8731"	"3233"	"161881"	0	"9692"	"4288"	"5978"	NA	NA	"5978"	5978	"3233"	3233	"MW"	"70th St."	"23-Jan-10"	"MW 018"	"MW 018"	""	"1/20/2010 11:50"	"1/21/2010 11:18"	NA	"Baseflow"	"Baseflow"	"Baseflow"	"Baseflow"	2010-01-20 17:50:00	2010-01-21 17:18:00	14.0975177304965	15.5	13.1	14	0.638972324406236	50.0553606382979	53.81153	47.74961	49.71614	1.75979783494497	1664.71631205674	1710	1640	1660	12.3165983201473	1.76737588652482	2.3	1.6	1.8	0.09279867920025	1.10460992907801	1.3	0.5	1.2	0.154689530550444
"MW 019"	"Milw Corridor Study USGS"	"33606 - 33607"	"70th St."	FALSE	"MW 019"	"1/22/2010 23:15"	"1/25/2010 12:28"	"22-Jan-10"	"Event"	"Mix"	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"1/22/2010"	0	"0010-01-22"	0	NA	NA	NA	NA	NA	"Jan"	NA	NA	0	0	0	"MW"	"1/22/2010"	"1/25/2010 12:28"	8703	"USGSMW019"	"MW"	"28-Jan-10"	"Rain"	"580"	360	"6535"	""	"498879"	0	"84297"	"11265"	""	NA	NA	"11265"	11265	"6535"	6535	"MW"	"70th St."	"28-Jan-10"	"MW 019"	"MW 019"	""	"1/22/2010 23:15"	"1/25/2010 12:28"	NA	"Event"	"Mix"	"Mix"	"Rain"	2010-01-23 05:15:00	2010-01-25 18:28:00	13.3413605442177	14.9	12.7	13.1	0.577369114714674	392.509918073218	726.8976	43.06403	476.0001	207.992477413622	1689.20248667851	2220	918	1650	290.372992787595	16.8684434968017	100	1.6	2.7	24.8137951432208	0.254965986394558	1.5	0	0.2	0.230682479175265
"MW 020"	"Milw Corridor Study USGS"	"33612 - 33613"	"70th St."	FALSE	"MW 020"	"3/1/2010 9:16"	"3/2/2010 9:22"	"1-Mar-10"	"Baseflow"	"Baseflow"	0	0	0	307.78	0	0	0	0	49.14	0	0	0	0	0	0	0	0	0	0	0	0	0	"3/1/2010"	2	"0010-03-01"	307.78	49.14	0	0	356.92	356.92	"Mar"	0	0	0	0	1	"MW"	"3/1/2010"	"3/2/2010 9:22"	8718	"USGSMW020"	"MW"	"4-Mar-10"	"Baseflow"	"116"	135	"10617"	""	"235591"	0	"12108"	"6631"	""	NA	NA	"6631"	6631	"10617"	10617	"MW"	"70th St."	"4-Mar-10"	"MW 020"	"MW 020"	""	"3/1/2010 9:16"	"3/2/2010 9:22"	NA	"Baseflow"	"Baseflow"	"Baseflow"	"Baseflow"	2010-03-01 15:16:00	2010-03-02 15:22:00	15.0743944636678	18.3	13.2	14.2	1.81187299406882	43.0999740625	48.72618	38.69867	42.16571	2.90766890257311	2533.97923875433	2650	2460	2520	52.2721203652009	4.45467128027682	4.8	3.9	4.5	0.203068421792405	1.06678200692042	2	0	1.1	0.672735675521649
"MW 021"	"Milw Corridor Study USGS"	"33664 - 33665"	"70th St."	FALSE	"MW 021"	"3/9/2010 17:19"	"3/13/2010 20:30"	"9-Mar-10"	"Event"	"Mix"	0	11.36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35.44	0	0	"3/9/2010"	2	"0010-03-09"	11.36	0	0	35.44	11.36	46.8	"Mar"	0	1	0	1	0	"MW"	"3/9/2010"	"3/13/2010 20:30"	8749	"USGSMW021"	"MW"	"17-Mar-10"	"Rain"	"110"	20	"BLD"	"360"	"66250"	NA	"10621"	"2613"	"3060"	NA	NA	"3060"	3060	"360"	360	"MW"	"70th St."	"17-Mar-10"	"MW 021"	"MW 021"	""	"3/9/2010 17:19"	"3/13/2010 20:30"	NA	"Event"	"Mix"	"Mix"	"Rain"	2010-03-09 23:19:00	2010-03-14 02:30:00	12.2614478114478	13.8	11.8	12.2	0.308561231362334	513.511344752309	815.5512	164.8612	578.5372	166.316223326766	1242.89478114478	1910	879	1130	308.425165044495	28.6153169014085	100	11	21	17.3817691085925	2.63813131313131	3.7	1.6	2.7	0.621289424403348
"MW 023"	"Milw Corridor Study USGS"	"33686 - 33687"	"70th St."	FALSE	"MW 023"	"4/5/2010 22:29"	"4/7/2010 13:37"	"5-Apr-10"	"Event"	"Rainfall "	41.32	0	0	0	0	0	0	0	40.36	0	0	0	0	0	0	0	0	0	0	0	0	0	"4/5/2010"	3	"0010-04-05"	41.32	40.36	0	0	81.68	81.68	"Apr"	0	0	1	0	0	"MW"	"4/5/2010"	"4/7/2010 13:37"	8799	"USGSMW023"	"MW"	"10-Apr-10"	"Rain"	"830"	420	"BLD"	"435"	"99791"	NA	"17224"	"3138"	"2153"	NA	NA	"2153"	2153	"435"	435	"MW"	"70th St."	"10-Apr-10"	"MW 023"	"MW 023"	""	"4/5/2010 22:29"	"4/7/2010 13:37"	NA	"Event"	"Rainfall "	"Rainfall "	"Rain"	2010-04-06 04:29:00	2010-04-07 19:37:00	9.4272340425532	10	8.6	9.4	0.361150153509882	423.133070425532	1813.561	176.7991	355.5191	289.203526725183	934.047210300429	1280	490	955	127.876191478475	52.2931034482759	190	21	51	31.1546628251127	10.8442553191489	14.4	9.4	10.6	1.07993868711858
"MW 024"	"Milw Corridor Study USGS"	"33700 - 33701"	"70th St."	FALSE	"MW 024"	"4/24/2010 23:25"	"4/26/2010 13:06"	"24-Apr-10"	"Event"	"Rainfall "	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"4/24/2010"	3	"0010-04-24"	0	0	0	0	0	0	"Apr"	0	0	0	0	0	"MW"	"4/24/2010"	"4/26/2010 13:06"	8855	"USGSMW024"	"MW"	"28-Apr-10"	"Rain"	"630"	480	"2161"	"1643"	"233064"	0	"24339"	"BLD"	"2760"	NA	NA	"2760"	2760	"1643"	1643	"MW"	"70th St."	"28-Apr-10"	"MW 024"	"MW 024"	""	"4/24/2010 23:25"	"4/26/2010 13:06"	NA	"Event"	"Rainfall "	"Rainfall "	"Rain"	2010-04-25 05:25:00	2010-04-26 19:06:00	9.76799116997793	10.3	9.5	9.6	0.256101956867258	935.937317880795	2656.077	538.2491	876.4399	431.670703434997	650.260485651214	778	306	656	119.089273261526	46.8603104212860	150	17	33	31.2240718946329	9.31368653421634	11	8.7	9.3	0.366323348050764
